Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Connecticut,06/21/2021,"41,220","41,220"
Maine,06/21/2021,"15,800","15,800"
Massachusetts,06/21/2021,"79,500","79,500"
New Hampshire,06/21/2021,"15,800","15,800"
Rhode Island,06/21/2021,"12,480","12,480"
Vermont,06/21/2021,"7,480","7,480"
New Jersey,06/21/2021,"100,620","100,620"
New York,06/21/2021,"128,240","128,240"
New York City,06/21/2021,"97,400","97,400"
Puerto Rico,06/21/2021,"39,400","39,400"
U.S. Virgin Islands,06/21/2021,"1,360","1,360"
Delaware,06/21/2021,"10,940","10,940"
District of Columbia,06/21/2021,"8,320","8,320"
Maryland,06/21/2021,"68,000","68,000"
Pennsylvania,06/21/2021,"129,600","129,600"
Philadelphia,06/21/2021,"18,040","18,040"
Virginia,06/21/2021,"95,480","95,480"
West Virginia,06/21/2021,"21,360","21,360"
Alabama,06/21/2021,"54,960","54,960"
Florida,06/21/2021,"239,560","239,560"
Georgia,06/21/2021,"113,660","113,660"
Kentucky,06/21/2021,"49,960","49,960"
Mississippi,06/21/2021,"33,140","33,140"
North Carolina,06/21/2021,"114,640","114,640"
South Carolina,06/21/2021,"56,320","56,320"
Tennessee,06/21/2021,"75,060","75,060"
Chicago,06/21/2021,"30,520","30,520"
Illinois,06/21/2021,"113,660","113,660"
Indiana,06/21/2021,"73,840","73,840"
Michigan,06/21/2021,"113,100","113,100"
Minnesota,06/21/2021,"62,020","62,020"
Ohio,06/21/2021,"131,560","131,560"
Wisconsin,06/21/2021,"65,900","65,900"
Arkansas,06/21/2021,"33,420","33,420"
Louisiana,06/21/2021,"51,880","51,880"
New Mexico,06/21/2021,"23,700","23,700"
Oklahoma,06/21/2021,"43,280","43,280"
Texas,06/21/2021,"300,040","300,040"
Iowa,06/21/2021,"35,100","35,100"
Kansas,06/21/2021,"32,060","32,060"
Missouri,06/21/2021,"68,560","68,560"
Nebraska,06/21/2021,"21,220","21,220"
Colorado,06/21/2021,"62,300","62,300"
Montana,06/21/2021,"12,060","12,060"
North Dakota,06/21/2021,"8,600","8,600"
South Dakota,06/21/2021,"9,680","9,680"
Utah,06/21/2021,"31,220","31,220"
Wyoming,06/21/2021,"6,640","6,640"
Arizona,06/21/2021,"77,860","77,860"
California,06/21/2021,"438,000","438,000"
Hawaii,06/21/2021,"16,360","16,360"
Nevada,06/21/2021,"32,860","32,860"
American Samoa,06/21/2021,0,0
Guam,06/21/2021,0,0
Marshall Islands,06/21/2021,0,0
Micronesia,06/21/2021,0,0
Mariana Islands,06/21/2021,0,0
Palau,06/21/2021,0,0
Alaska,06/21/2021,"12,060","12,060"
Idaho,06/21/2021,"18,320","18,320"
Oregon,06/21/2021,"47,160","47,160"
Washington,06/21/2021,"83,520","83,520"
Federal Entities,06/21/2021,"164,800","164,800"
Connecticut,06/14/2021,"41,220","41,220"
Maine,06/14/2021,"15,800","15,800"
Massachusetts,06/14/2021,"79,500","79,500"
New Hampshire,06/14/2021,"15,800","15,800"
Rhode Island,06/14/2021,"12,480","12,480"
Vermont,06/14/2021,"7,480","7,480"
New Jersey,06/14/2021,"100,620","100,620"
New York,06/14/2021,"128,240","128,240"
New York City,06/14/2021,"97,400","97,400"
Puerto Rico,06/14/2021,"39,400","39,400"
