,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
0,Address pending validation,,,3945,,2418,,04/21/2021
1,Andover,No,3236.0,1661,51.33,1102,34.05,04/21/2021
2,Ansonia,Yes,18654.0,7033,37.7,4161,22.31,04/21/2021
3,Ashford,No,4255.0,2019,47.45,1375,32.31,04/21/2021
4,Avon,No,18276.0,11659,63.79,8003,43.79,04/21/2021
5,Barkhamsted,No,3606.0,1889,52.38,1373,38.08,04/21/2021
6,Beacon Falls,No,6222.0,3049,49.0,2030,32.63,04/21/2021
7,Berlin,No,20436.0,11345,55.51,8204,40.14,04/21/2021
8,Bethany,No,5548.0,3148,56.74,2150,38.75,04/21/2021
9,Bethel,No,19800.0,9138,46.15,5416,27.35,04/21/2021
10,Bethlehem,No,3402.0,1657,48.71,1130,33.22,04/21/2021
11,Bloomfield,No,21211.0,11439,53.93,8438,39.78,04/21/2021
12,Bolton,No,4884.0,2641,54.07,1788,36.61,04/21/2021
13,Bozrah,No,2726.0,1238,45.41,951,34.89,04/21/2021
14,Branford,No,27900.0,16703,59.87,11963,42.88,04/21/2021
15,Bridgeport,Yes,144399.0,44457,30.79,26982,18.69,04/21/2021
16,Bridgewater,No,1635.0,1032,63.12,718,43.91,04/21/2021
17,Bristol,Yes,59947.0,27141,45.27,18151,30.28,04/21/2021
18,Brookfield,No,16973.0,9063,53.4,5846,34.44,04/21/2021
19,Brooklyn,No,8272.0,3414,41.27,2519,30.45,04/21/2021
20,Burlington,No,9704.0,5365,55.29,3631,37.42,04/21/2021
21,Canaan,No,1053.0,764,72.55,468,44.44,04/21/2021
22,Canterbury,No,5079.0,2158,42.49,1564,30.79,04/21/2021
23,Canton,No,10254.0,5760,56.17,4029,39.29,04/21/2021
24,Chaplin,No,2239.0,954,42.61,651,29.08,04/21/2021
25,Cheshire,No,28937.0,17276,59.7,12349,42.68,04/21/2021
26,Chester,No,4213.0,2410,57.2,1740,41.3,04/21/2021
27,Clinton,No,12925.0,7472,57.81,5041,39.0,04/21/2021
28,Colchester,No,15809.0,8083,51.13,5591,35.37,04/21/2021
29,Colebrook,No,1400.0,710,50.71,493,35.21,04/21/2021
30,Columbia,No,5379.0,2891,53.75,2074,38.56,04/21/2021
31,Cornwall,No,1362.0,871,63.95,562,41.26,04/21/2021
32,Coventry,No,12407.0,6256,50.42,4164,33.56,04/21/2021
33,Cromwell,No,13839.0,8259,59.68,5622,40.62,04/21/2021
34,Danbury,Yes,84694.0,32822,38.75,18820,22.22,04/21/2021
35,Darien,No,21728.0,12118,55.77,6374,29.34,04/21/2021
36,Deep River,No,4443.0,2604,58.61,1765,39.73,04/21/2021
37,Derby,Yes,12339.0,5193,42.09,3201,25.94,04/21/2021
38,Durham,No,7165.0,4061,56.68,2892,40.36,04/21/2021
39,East Granby,No,5140.0,2770,53.89,1819,35.39,04/21/2021
40,East Haddam,No,8997.0,4331,48.14,2768,30.77,04/21/2021
41,East Hampton,No,12800.0,6492,50.72,4470,34.92,04/21/2021
42,East Hartford,Yes,49872.0,19305,38.71,12111,24.28,04/21/2021
43,East Haven,Yes,28569.0,12381,43.34,8464,29.63,04/21/2021
44,East Lyme,No,18462.0,11108,60.17,8282,44.86,04/21/2021
45,East Windsor,No,11668.0,5078,43.52,3297,28.26,04/21/2021
46,Eastford,No,1790.0,785,43.85,572,31.96,04/21/2021
47,Easton,No,7521.0,4159,55.3,2706,35.98,04/21/2021
48,Ellington,No,16467.0,8434,51.22,5332,32.38,04/21/2021
49,Enfield,Yes,43659.0,18077,41.4,11779,26.98,04/21/2021
50,Essex,No,6668.0,4456,66.83,3331,49.96,04/21/2021
51,Fairfield,No,62045.0,33909,54.65,20143,32.47,04/21/2021
52,Farmington,No,25497.0,16052,62.96,11146,43.71,04/21/2021
53,Franklin,No,1920.0,953,49.64,693,36.09,04/21/2021
54,Glastonbury,No,34482.0,21360,61.95,14037,40.71,04/21/2021
