,County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Date
0,Fairfield,943332.0,102830,10.9,41440,4.39,02/16/2021
1,Hartford,891720.0,109336,12.26,56622,6.35,02/16/2021
2,Litchfield,180333.0,24199,13.42,10692,5.93,02/16/2021
3,Middlesex,162436.0,27369,16.85,12314,7.58,02/16/2021
4,New Haven,854757.0,117346,13.73,57232,6.7,02/16/2021
5,New London,265206.0,34052,12.84,15405,5.81,02/16/2021
6,Tolland,150721.0,15970,10.6,7431,4.93,02/16/2021
7,Windham,116782.0,12053,10.32,5014,4.29,02/16/2021
8,Residence out of state,,10842,,5031,,02/16/2021
9,Address pending validation,,8620,,2920,,02/16/2021
10,Total,3565287.0,462617,12.98,214101,6.01,02/16/2021
11,Fairfield,943332.0,123598,13.1,57117,6.05,02/23/2021
12,Hartford,891720.0,129810,14.56,73885,8.29,02/23/2021
13,Litchfield,180333.0,28775,15.96,14742,8.17,02/23/2021
14,Middlesex,162436.0,32069,19.74,15925,9.8,02/23/2021
15,New Haven,854757.0,134019,15.68,74075,8.67,02/23/2021
16,New London,265206.0,43359,16.35,21431,8.08,02/23/2021
17,Tolland,150721.0,20445,13.56,10147,6.73,02/23/2021
18,Windham,116782.0,15577,13.34,7027,6.02,02/23/2021
19,Residence out of state,,17248,,10388,,02/23/2021
20,Address pending validation,,8819,,2864,,02/23/2021
21,Total,3565287.0,553719,15.53,287601,8.07,02/23/2021
22,Fairfield,943332.0,142288,15.08,72274,7.66,03/01/2021
23,Hartford,891720.0,150641,16.89,85057,9.54,03/01/2021
24,Litchfield,180333.0,33855,18.77,17586,9.75,03/01/2021
25,Middlesex,162436.0,36328,22.36,19088,11.75,03/01/2021
26,New Haven,854757.0,152740,17.87,85880,10.05,03/01/2021
27,New London,265206.0,49633,18.71,26048,9.82,03/01/2021
28,Tolland,150721.0,24088,15.98,12054,8.0,03/01/2021
29,Windham,116782.0,18226,15.61,8917,7.64,03/01/2021
30,Residence out of state,,18496,,12639,,03/01/2021
31,Address pending validation,,12073,,5456,,03/01/2021
32,Total,3565287.0,638368,17.91,344999,9.68,03/01/2021
33,Fairfield,943332.0,179399,19.02,88671,9.4,03/08/2021
34,Hartford,891720.0,187553,21.03,99556,11.16,03/08/2021
35,Litchfield,180333.0,41685,23.12,20714,11.49,03/08/2021
36,Middlesex,162436.0,45190,27.82,23899,14.71,03/08/2021
37,New Haven,854757.0,187213,21.9,101640,11.89,03/08/2021
38,New London,265206.0,61321,23.12,32239,12.16,03/08/2021
39,Tolland,150721.0,31193,20.7,14941,9.91,03/08/2021
