,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Date Updated
0,Address pending validation,15-44,,,1418.0,,743.0,,04/21/2021
1,Address pending validation,45-64,,,1620.0,,974.0,,04/21/2021
2,Address pending validation,65+,,,903.0,,699.0,,04/21/2021
3,Andover,15-44,No,1106.0,386.0,34.9,156.0,14.1,04/21/2021
4,Andover,45-64,No,1217.0,802.0,65.9,513.0,42.15,04/21/2021
5,Andover,65+,No,421.0,473.0,100.0,433.0,100.0,04/21/2021
6,Ansonia,15-44,Yes,7532.0,2061.0,27.36,882.0,11.71,04/21/2021
7,Ansonia,45-64,Yes,5365.0,2977.0,55.49,1668.0,31.09,04/21/2021
8,Ansonia,65+,Yes,2535.0,1994.0,78.66,1610.0,63.51,04/21/2021
9,Ashford,15-44,No,1537.0,497.0,32.34,207.0,13.47,04/21/2021
10,Ashford,45-64,No,1456.0,848.0,58.24,567.0,38.94,04/21/2021
11,Ashford,65+,No,572.0,674.0,100.0,601.0,100.0,04/21/2021
12,Avon,15-44,No,5426.0,3372.0,62.15,1352.0,24.92,04/21/2021
13,Avon,45-64,No,5968.0,4784.0,80.16,3393.0,56.85,04/21/2021
14,Avon,65+,No,3446.0,3502.0,100.0,3258.0,94.54,04/21/2021
15,Barkhamsted,15-44,No,1103.0,405.0,36.72,186.0,16.86,04/21/2021
16,Barkhamsted,45-64,No,1386.0,821.0,59.24,579.0,41.77,04/21/2021
17,Barkhamsted,65+,No,616.0,663.0,100.0,608.0,98.7,04/21/2021
18,Beacon Falls,15-44,No,2191.0,826.0,37.7,377.0,17.21,04/21/2021
19,Beacon Falls,45-64,No,1929.0,1195.0,61.95,745.0,38.62,04/21/2021
20,Beacon Falls,65+,No,951.0,1028.0,100.0,908.0,95.48,04/21/2021
21,Berlin,15-44,No,6538.0,2961.0,45.29,1420.0,21.72,04/21/2021
22,Berlin,45-64,No,6790.0,4349.0,64.05,3079.0,45.35,04/21/2021
23,Berlin,65+,No,4012.0,4033.0,100.0,3704.0,92.32,04/21/2021
24,Bethany,15-44,No,1640.0,863.0,52.62,401.0,24.45,04/21/2021
25,Bethany,45-64,No,2135.0,1343.0,62.9,899.0,42.11,04/21/2021
26,Bethany,65+,No,866.0,941.0,100.0,849.0,98.04,04/21/2021
27,Bethel,15-44,No,6913.0,2834.0,41.0,1060.0,15.33,04/21/2021
28,Bethel,45-64,No,6259.0,3984.0,63.65,2369.0,37.85,04/21/2021
29,Bethel,65+,No,2874.0,2314.0,80.51,1985.0,69.07,04/21/2021
30,Bethlehem,15-44,No,1011.0,346.0,34.22,165.0,16.32,04/21/2021
31,Bethlehem,45-64,No,1390.0,648.0,46.62,412.0,29.64,04/21/2021
32,Bethlehem,65+,No,646.0,662.0,100.0,553.0,85.6,04/21/2021
33,Bloomfield,15-44,No,6503.0,2342.0,36.01,1084.0,16.67,04/21/2021
34,Bloomfield,45-64,No,6268.0,3832.0,61.14,2711.0,43.25,04/21/2021
35,Bloomfield,65+,No,5199.0,5262.0,100.0,4642.0,89.29,04/21/2021
36,Bolton,15-44,No,1597.0,728.0,45.59,326.0,20.41,04/21/2021
37,Bolton,45-64,No,1723.0,1045.0,60.65,677.0,39.29,04/21/2021
38,Bolton,65+,No,850.0,867.0,100.0,785.0,92.35,04/21/2021
39,Bozrah,15-44,No,887.0,254.0,28.64,136.0,15.33,04/21/2021
