,Town,Age Group,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
0,Address pending validation,12-15,,,31.0,,14.0,,,,07/21/2021
1,Address pending validation,16-44,,,1787.0,,1565.0,,,,07/21/2021
2,Address pending validation,45-64,,,1679.0,,1508.0,,,,07/21/2021
3,Address pending validation,65+,,,844.0,,764.0,,,,07/21/2021
4,Andover,12-15,No,207.0,74.0,35.75,65.0,31.4,,,07/21/2021
5,Andover,16-44,No,1045.0,640.0,61.24,597.0,57.13,,,07/21/2021
6,Andover,45-64,No,1217.0,863.0,70.91,817.0,67.13,,,07/21/2021
7,Andover,65+,No,421.0,481.0,100.0,470.0,100.0,,,07/21/2021
8,Ansonia,12-15,Yes,1008.0,270.0,26.79,209.0,20.73,,,07/21/2021
9,Ansonia,16-44,Yes,7283.0,3660.0,50.25,3307.0,45.41,,,07/21/2021
10,Ansonia,45-64,Yes,5365.0,3686.0,68.7,3372.0,62.85,,,07/21/2021
11,Ansonia,65+,Yes,2535.0,2159.0,85.17,2017.0,79.57,,,07/21/2021
12,Ashford,12-15,No,192.0,91.0,47.4,86.0,44.79,,,07/21/2021
13,Ashford,16-44,No,1487.0,800.0,53.8,755.0,50.77,,,07/21/2021
14,Ashford,45-64,No,1456.0,950.0,65.25,904.0,62.09,,,07/21/2021
15,Ashford,65+,No,572.0,693.0,100.0,674.0,100.0,,,07/21/2021
16,Avon,12-15,No,1233.0,795.0,64.48,686.0,55.64,,,07/21/2021
17,Avon,16-44,No,5149.0,4872.0,94.62,4514.0,87.67,,,07/21/2021
18,Avon,45-64,No,5968.0,5006.0,83.88,4683.0,78.47,,,07/21/2021
19,Avon,65+,No,3446.0,3582.0,100.0,3462.0,100.0,,,07/21/2021
20,Barkhamsted,12-15,No,216.0,87.0,40.28,74.0,34.26,,,07/21/2021
21,Barkhamsted,16-44,No,1056.0,650.0,61.55,608.0,57.58,,,07/21/2021
22,Barkhamsted,45-64,No,1386.0,898.0,64.79,856.0,61.76,,,07/21/2021
23,Barkhamsted,65+,No,616.0,683.0,100.0,670.0,100.0,,,07/21/2021
24,Beacon Falls,12-15,No,321.0,119.0,37.07,106.0,33.02,,,07/21/2021
25,Beacon Falls,16-44,No,2116.0,1251.0,59.12,1130.0,53.4,,,07/21/2021
26,Beacon Falls,45-64,No,1929.0,1357.0,70.35,1247.0,64.64,,,07/21/2021
27,Beacon Falls,65+,No,951.0,1051.0,100.0,1006.0,100.0,,,07/21/2021
28,Berlin,12-15,No,1032.0,251.0,24.32,189.0,18.31,,,07/21/2021
29,Berlin,16-44,No,6285.0,4286.0,68.19,4006.0,63.74,,,07/21/2021
30,Berlin,45-64,No,6790.0,4758.0,70.07,4507.0,66.38,,,07/21/2021
31,Berlin,65+,No,4012.0,4165.0,100.0,4037.0,100.0,,,07/21/2021
32,Bethany,12-15,No,314.0,140.0,44.59,119.0,37.9,,,07/21/2021
