,Town,At least one census tract SVI≥0.75,Population,Initiated Vaccination Count,Initiated Vaccination Percent,Fully Vaccinated Count,Fully Vaccinated Percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date Updated
0,Address pending validation,,,14946,,13110,,,,12/01/2021
1,Andover,No,3236.0,2314,71.51,2161,66.78,,,12/01/2021
2,Ansonia,Yes,18654.0,12039,64.54,11083,59.41,,,12/01/2021
3,Ashford,No,4255.0,2886,67.83,2671,62.77,,,12/01/2021
4,Avon,No,18276.0,16327,89.34,14479,79.22,,,12/01/2021
5,Barkhamsted,No,3606.0,2668,73.99,2458,68.16,,,12/01/2021
6,Beacon Falls,No,6222.0,4280,68.79,3979,63.95,,,12/01/2021
7,Berlin,No,20436.0,15180,74.28,14152,69.25,,,12/01/2021
8,Bethany,No,5548.0,4221,76.08,3840,69.21,,,12/01/2021
9,Bethel,No,19800.0,14411,72.78,12865,64.97,,,12/01/2021
10,Bethlehem,No,3402.0,2318,68.14,2144,63.02,,,12/01/2021
11,Bloomfield,No,21211.0,16679,78.63,15147,71.41,,,12/01/2021
12,Bolton,No,4884.0,3672,75.18,3359,68.78,,,12/01/2021
13,Bozrah,No,2726.0,1740,63.83,1642,60.23,,,12/01/2021
14,Branford,No,27900.0,22210,79.61,20335,72.89,,,12/01/2021
15,Bridgeport,Yes,144399.0,92257,63.89,82026,56.81,,,12/01/2021
16,Bridgewater,No,1635.0,1336,81.71,1211,74.07,,,12/01/2021
17,Bristol,Yes,59947.0,42895,71.55,39248,65.47,,,12/01/2021
18,Brookfield,No,16973.0,13280,78.24,11977,70.57,,,12/01/2021
19,Brooklyn,No,8272.0,5246,63.42,4753,57.46,,,12/01/2021
20,Burlington,No,9704.0,7342,75.66,6685,68.89,,,12/01/2021
21,Canaan,No,1053.0,1235,100.0,1110,100.0,,,12/01/2021
22,Canterbury,No,5079.0,3256,64.11,3020,59.46,,,12/01/2021
23,Canton,No,10254.0,8007,78.09,7240,70.61,,,12/01/2021
