,Reporting period end date,Weekly total,Cumulative
0,11/29/2020,32,32
1,12/6/2020,37,69
2,12/13/2020,9161,9230
3,12/20/2020,29564,38794
4,12/27/2020,44140,82934
5,1/3/2021,56700,139634
6,1/10/2021,55804,195438
7,1/17/2021,87191,282629
8,1/24/2021,77435,360064
9,1/31/2021,50508,410572
10,2/7/2021,74304,484876
11,2/14/2021,84925,569801
12,2/21/2021,86488,656289
13,2/28/2021,149968,806257
14,3/7/2021,149284,955541
15,3/14/2021,129776,1085317
16,3/21/2021,149763,1235080
17,3/28/2021,157780,1392860
18,4/4/2021,200872,1593732
19,4/11/2021,170235,1763967
20,4/18/2021,132340,1896307
21,4/25/2021,92634,1988941
22,5/2/2021,52425,2041366
23,5/9/2021,65217,2106583
24,5/16/2021,81945,2188528
25,5/23/2021,44069,2232597
26,5/30/2021,26696,2259293
27,6/6/2021,24304,2283597
28,6/13/2021,21206,2304803
29,6/20/2021,19929,2324732
30,6/27/2021,18276,2343008
31,7/4/2021,15909,2358917
32,7/11/2021,18319,2377236
33,7/18/2021,22546,2399782
34,7/25/2021,26332,2426114
35,8/1/2021,29519,2455633
36,8/8/2021,26456,2482089
37,8/15/2021,25517,2507606
38,8/22/2021,24856,2532462
39,8/29/2021,21520,2553982
40,9/5/2021,16074,2570056
41,9/12/2021,16692,2586748
42,9/19/2021,16337,2603085
43,9/26/2021,16071,2619156
44,10/3/2021,13226,2632382
45,10/10/2021,11729,2644111
46,10/17/2021,12332,2656443
47,10/24/2021,16936,2673379
48,10/31/2021,22295,2695674
49,11/7/2021,45122,2740796
50,11/14/2021,40455,2781251
51,11/21/2021,24351,2805602
52,11/28/2021,24989,2830591
53,12/5/2021,28990,2859581
54,12/12/2021,28632,2888213
55,12/19/2021,23601,2911814
56,12/26/2021,23776,2935590
57,1/2/2022,25238,2960828
58,1/9/2022,22038,2982866
59,1/16/2022,15945,2998811
60,1/23/2022,11491,3010302
61,1/30/2022,9262,3019564
62,2/6/2022,8507,3028071
63,2/13/2022,6608,3034679
64,2/20/2022,5117,3039796
65,2/27/2022,4804,3044600
66,3/6/2022,3474,3048074
67,3/13/2022,3062,3051136
68,3/20/2022,3046,3054182
69,3/27/2022,3136,3057318
70,4/3/2022,3324,3060642
71,4/10/2022,3304,3063946
72,4/17/2022,2921,3066867
73,4/24/2022,2947,3069814
74,5/1/2022,2707,3072521
75,5/8/2022,2886,3075407
76,5/15/2022,2955,3078362
77,5/22/2022,2921,3081283
78,5/29/2022,2055,3083338
79,6/5/2022,2283,3085621
80,6/12/2022,2062,3087683
81,6/19/2022,4368,3092051
82,6/26/2022,4418,3096469
83,7/3/2022,3569,3100038
84,7/10/2022,4411,3104449
85,7/17/2022,3949,3108398
86,7/24/2022,3457,3111855
87,7/31/2022,969,3112824
