,Reporting period end date,Weekly total
0,11/29/2020,33
1,12/06/2020,39
2,12/13/2020,9170
3,12/20/2020,29566
4,12/27/2020,44126
5,01/03/2021,56634
6,01/10/2021,55757
7,01/17/2021,87155
8,01/24/2021,77412
9,01/31/2021,50497
10,02/07/2021,74306
11,02/14/2021,84873
12,02/21/2021,86482
13,02/28/2021,149907
14,03/07/2021,149235
15,03/14/2021,129755
16,03/21/2021,149774
17,03/28/2021,157802
18,04/04/2021,200976
19,04/11/2021,170195
20,04/18/2021,132256
21,04/25/2021,92612
22,05/02/2021,52461
23,05/09/2021,65270
24,05/16/2021,81978
25,05/23/2021,44089
26,05/30/2021,26705
27,06/06/2021,24319
28,06/13/2021,21217
29,06/20/2021,19924
30,06/27/2021,18277
31,07/04/2021,15882
32,07/11/2021,18327
33,07/18/2021,22550
34,07/25/2021,26341
35,08/01/2021,29552
36,08/08/2021,26493
37,08/15/2021,25485
38,08/22/2021,24857
39,08/29/2021,21518
40,09/05/2021,16051
41,09/12/2021,16671
42,09/19/2021,16280
43,09/26/2021,15900
44,10/03/2021,13071
45,10/10/2021,11577
46,10/17/2021,12229
47,10/24/2021,16662
48,10/31/2021,21923
49,11/07/2021,44727
50,11/14/2021,39852
51,11/21/2021,23786
52,11/28/2021,24301
53,12/05/2021,28381
54,12/12/2021,27973
55,12/19/2021,23152
56,12/26/2021,23541
57,01/02/2022,25022
58,01/09/2022,21879
59,01/16/2022,15825
60,01/23/2022,11398
61,01/30/2022,9183
62,02/06/2022,8398
63,02/13/2022,6541
64,02/20/2022,5080
65,02/27/2022,4749
66,03/06/2022,3433
67,03/13/2022,3040
68,03/20/2022,2998
69,03/27/2022,3112
70,04/03/2022,3298
71,04/10/2022,3266
72,04/17/2022,2895
73,04/24/2022,2924
74,05/01/2022,2679
75,05/08/2022,2877
76,05/15/2022,2928
77,05/22/2022,2885
78,05/29/2022,1975
79,06/05/2022,2219
80,06/12/2022,2011
81,06/19/2022,4371
82,06/26/2022,4435
83,07/03/2022,3573
84,07/10/2022,4401
85,07/17/2022,3972
86,07/24/2022,3473
87,07/31/2022,3156
88,08/07/2022,3006
89,08/14/2022,2870
90,08/21/2022,3118
91,08/28/2022,1957
92,09/04/2022,1212
93,09/11/2022,403
