,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,AdditionalDailyDose,AdditionalDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccinations,FirstSecondSingleVaccinationsCumulative
0,12/14/2020,17,1121,,419,,,,,17,1121,0,419,17,1459
1,12/15/2020,56,1177,3,422,,,,,56,1177,3,422,59,1518
2,12/16/2020,580,1757,2,424,,,,,580,1757,2,424,582,2100
3,12/17/2020,1150,2907,2,426,,,,,1150,2907,2,426,1152,3252
4,12/18/2020,2998,5905,11,437,,,,,2998,5905,11,437,3009,6261
5,12/19/2020,923,6828,5,442,,,,,923,6828,5,442,928,7189
6,12/20/2020,345,7173,4,446,,,,,345,7173,4,446,349,7538
7,12/21/2020,3869,11042,25,471,,,,,3869,11042,25,471,3894,11432
8,12/22/2020,6298,17340,23,494,,,,,6298,17340,23,494,6321,17753
9,12/23/2020,5751,23091,33,527,,,,,5751,23091,33,527,5784,23537
10,12/24/2020,2717,25808,14,541,,,,,2717,25808,14,541,2731,26268
11,12/25/2020,1033,26841,4,545,,,,,1033,26841,4,545,1037,27305
12,12/26/2020,1875,28716,9,554,,,,,1875,28716,9,554,1884,29189
13,12/27/2020,1800,30516,10,564,,,,,1800,30516,10,564,1810,30999
14,12/28/2020,8966,39482,41,605,,,,,8966,39482,41,605,9007,40006
15,12/29/2020,10944,50426,45,650,,,,,10944,50426,45,650,10989,50995
16,12/30/2020,12478,62904,74,724,,,,,12478,62904,74,724,12552,63547
17,12/31/2020,7534,70438,40,764,,,,,7534,70438,40,764,7574,71121
18,1/1/2021,2844,73282,125,889,,,,,2844,73282,125,889,2969,74090
19,1/2/2021,3010,76292,34,923,,,,,3010,76292,34,923,3044,77134
20,1/3/2021,3391,79683,80,1003,,,,,3391,79683,80,1003,3471,80605
21,1/4/2021,13308,92991,320,1323,,,,,13308,92991,320,1323,13628,94233
22,1/5/2021,12436,105427,530,1853,,,,,12436,105427,530,1853,12966,107199
23,1/6/2021,15200,120627,850,2703,,,,,15200,120627,850,2703,16050,123249
24,1/7/2021,14977,135604,1743,4446,,,,,14977,135604,1743,4446,16720,139969
25,1/8/2021,23964,159568,2749,7195,,,,,23964,159568,2749,7195,26713,166682
26,1/9/2021,5149,164717,942,8137,,,,,5149,164717,942,8137,6091,172773
27,1/10/2021,2941,167658,374,8511,,,,,2941,167658,374,8511,3315,176088
28,1/11/2021,13689,181347,3446,11957,,,,,13689,181347,3446,11957,17135,193223
29,1/12/2021,17341,198688,5567,17524,,,,,17341,198688,5567,17524,22908,216131
30,1/13/2021,18556,217244,3883,21407,,,,,18556,217244,3883,21407,22439,238570
31,1/14/2021,17792,235036,1938,23345,,,,,17792,235036,1938,23345,19730,258300
32,1/15/2021,19405,254441,1997,25342,,,,,19405,254441,1997,25342,21402,279702
33,1/16/2021,5796,260237,1600,26942,,,,,5796,260237,1600,26942,7396,287098
34,1/17/2021,2104,262341,1475,28417,,,,,2104,262341,1475,28417,3579,290677
35,1/18/2021,7058,269399,3239,31656,,,,,7058,269399,3239,31656,10297,300974
36,1/19/2021,16901,286300,5378,37034,,,,,16901,286300,5378,37034,22279,323253
37,1/20/2021,20976,307276,5285,42319,,,,,20976,307276,5285,42319,26261,349514
38,1/21/2021,23738,331014,3787,46106,,,,,23738,331014,3787,46106,27525,377039
39,1/22/2021,28624,359638,3707,49813,,,,,28624,359638,3707,49813,32331,409370
40,1/23/2021,10091,369729,1923,51736,,,,,10091,369729,1923,51736,12014,421384
41,1/24/2021,3337,373066,1720,53456,,,,,3337,373066,1720,53456,5057,426441
42,1/25/2021,16286,389352,8564,62020,,,,,16286,389352,8564,62020,24850,451291
43,1/26/2021,17532,406884,8947,70967,,,,,17532,406884,8947,70967,26479,477770
44,1/27/2021,24427,431311,12503,83470,,,,,24427,431311,12503,83470,36930,514700
45,1/28/2021,22628,453939,9279,92749,,,,,22628,453939,9279,92749,31907,546607
46,1/29/2021,24746,478685,7869,100618,,,,,24746,478685,7869,100618,32615,579222
47,1/30/2021,17757,496442,2525,103143,,,,,17757,496442,2525,103143,20282,599504
48,1/31/2021,3751,500193,1339,104482,,,,,3751,500193,1339,104482,5090,604594
49,2/1/2021,7783,507976,5213,109695,,,,,7783,507976,5213,109695,12996,617590
50,2/2/2021,12446,520422,13776,123471,,,,,12446,520422,13776,123471,26222,643812
51,2/3/2021,18203,538625,18074,141545,,,,,18203,538625,18074,141545,36277,680089
52,2/4/2021,22072,560697,15716,157261,,,,,22072,560697,15716,157261,37788,717877
53,2/5/2021,20310,581007,17356,174617,,,,,20310,581007,17356,174617,37666,755543
54,2/6/2021,11298,592305,14438,189055,,,,,11298,592305,14438,189055,25736,781279
55,2/7/2021,5929,598234,1801,190856,,,,,5929,598234,1801,190856,7730,789009
56,2/8/2021,12935,611169,12895,203751,,,,,12935,611169,12895,203751,25830,814839
57,2/9/2021,16612,627781,13826,217577,,,,,16612,627781,13826,217577,30438,845277
58,2/10/2021,19254,647035,21185,238762,,,,,19254,647035,21185,238762,40439,885716
59,2/11/2021,22845,669880,17278,256040,,,,,22845,669880,17278,256040,40123,925839
60,2/12/2021,20351,690231,19578,275618,,,,,20351,690231,19578,275618,39929,965768
61,2/13/2021,11405,701636,6391,282009,,,,,11405,701636,6391,282009,17796,983564
62,2/14/2021,7099,708735,2104,284113,,,,,7099,708735,2104,284113,9203,992767
63,2/15/2021,11737,720472,13287,297400,,,,,11737,720472,13287,297400,25024,1017791
64,2/16/2021,16575,737047,20976,318376,,,,,16575,737047,20976,318376,37551,1055342
65,2/17/2021,20625,757672,26339,344715,,,,,20625,757672,26339,344715,46964,1102306
66,2/18/2021,3181,760853,4603,349318,,,,,3181,760853,4603,349318,7784,1110090
67,2/19/2021,10241,771094,19883,369201,,,,,10241,771094,19883,369201,30124,1140214
68,2/20/2021,10290,781384,20248,389449,,,,,10290,781384,20248,389449,30538,1170752
69,2/21/2021,6158,787542,7624,397073,,,,,6158,787542,7624,397073,13782,1184534
70,2/22/2021,8008,795550,15439,412512,,,,,8008,795550,15439,412512,23447,1207981
71,2/23/2021,15504,811054,15930,428442,,,,,15504,811054,15930,428442,31434,1239415
72,2/24/2021,17911,828965,24715,453157,,,,,17911,828965,24715,453157,42626,1282041
73,2/25/2021,20368,849333,26513,479670,,,,,20368,849333,26513,479670,46881,1328922
74,2/26/2021,26681,876014,26159,505829,,,,,26681,876014,26159,505829,52840,1381762
75,2/27/2021,15968,891982,11112,516941,,,,,15968,891982,11112,516941,27080,1408842
76,2/28/2021,15492,907474,4851,521792,,,,,15492,907474,4851,521792,20343,1429185
77,3/1/2021,26412,933886,12444,534236,,,,,26412,933886,12444,534236,38856,1468041
78,3/2/2021,23847,957733,13229,547465,,,32,32,23879,957765,13261,547497,37108,1505149
79,3/3/2021,30098,987831,18343,565808,,,182,214,30280,988045,18525,566022,48623,1553772
80,3/4/2021,30924,1018755,18141,583949,,,4065,4279,34989,1023034,22206,588228,53130,1606902
81,3/5/2021,29397,1048152,19421,603370,,,4912,9191,34309,1057343,24333,612561,53730,1660632
82,3/6/2021,17832,1065984,8952,612322,,,6003,15194,23835,1081178,14955,627516,32787,1693419
83,3/7/2021,12108,1078092,4829,617151,,,6613,21807,18721,1099899,11442,638958,23550,1716969
84,3/8/2021,25819,1103911,8788,625939,,,8277,30084,34096,1133995,17065,656023,42884,1759853
85,3/9/2021,26070,1129981,15411,641350,,,8345,38429,34415,1168410,23756,679779,49826,1809679
86,3/10/2021,29796,1159777,15951,657301,,,7936,46365,37732,1206142,23887,703666,53683,1863362
87,3/11/2021,35914,1195691,16391,673692,,,3983,50348,39897,1246039,20374,724040,56288,1919650
88,3/12/2021,36862,1232553,18030,691722,,,2920,53268,39782,1285821,20950,744990,57812,1977462
89,3/13/2021,22641,1255194,10247,701969,,,1616,54884,24257,1310078,11863,756853,34504,2011966
90,3/14/2021,17827,1273021,6687,708656,,,999,55883,18826,1328904,7686,764539,25513,2037479
91,3/15/2021,29765,1302786,11242,719898,,,593,56476,30358,1359262,11835,776374,41600,2079079
92,3/16/2021,33388,1336174,13529,733427,,,766,57242,34154,1393416,14295,790669,47683,2126762
93,3/17/2021,37524,1373698,16987,750414,,,1174,58416,38698,1432114,18161,808830,55685,2182447
94,3/18/2021,41383,1415081,12578,762992,,,1348,59764,42731,1474845,13926,822756,55309,2237756
95,3/19/2021,38269,1453350,15358,778350,,,1036,60800,39305,1514150,16394,839150,54663,2292419
96,3/20/2021,24662,1478012,10102,788452,,,698,61498,25360,1539510,10800,849950,35462,2327881
97,3/21/2021,19148,1497160,7833,796285,,,333,61831,19481,1558991,8166,858116,27314,2355195
98,3/22/2021,32531,1529691,11419,807704,,,834,62665,33365,1592356,12253,870369,44784,2399979
99,3/23/2021,37725,1567416,17300,825004,,,1553,64218,39278,1631634,18853,889222,56578,2456557
100,3/24/2021,41045,1608461,21130,846134,,,1382,65600,42427,1674061,22512,911734,63557,2520114
101,3/25/2021,42305,1650766,20988,867122,,,2456,68056,44761,1718822,23444,935178,65749,2585863
