,Date,COVID-19 Patients in Acute Care Beds,COVID-19 Patients in ICU,COVID-19 Pediatric Patients in Acute Care Beds,COVID-19 Pediatric Patients in ICU,Non-COVID Acute,Non-COVID ICU,Capacity_85_Count
0,3/25/2020,68,40,,,3908,816,6154
1,3/26/2020,76,70,,,3699,670,6151
2,3/27/2020,113,72,,,3812,660,6033
3,3/28/2020,118,94,,,3880,706,5766
4,3/29/2020,150,110,,,3756,643,5774
5,3/30/2020,177,131,,,3972,625,6092
6,3/31/2020,257,145,,,3804,654,6021
7,4/1/2020,0,0,,,3846,848,6044
8,4/2/2020,263,184,,,3490,636,5939
9,4/3/2020,369,236,,,3264,659,5980
10,4/4/2020,305,254,,,3372,641,5840
11,4/5/2020,498,272,,,3219,608,5870
12,4/6/2020,499,302,,,3194,595,5978
13,4/7/2020,539,309,,,3317,578,5993
14,4/8/2020,581,343,,,3238,611,6089
15,4/9/2020,560,358,,,3295,600,6130
16,4/10/2020,641,379,,,3178,621,6015
17,4/11/2020,633,386,,,3078,616,6037
18,4/12/2020,657,414,,,3052,562,5980
19,4/13/2020,631,448,,,3212,536,6090
20,4/14/2020,718,438,,,3286,552,6168
21,4/15/2020,788,431,,,3314,540,6112
22,4/16/2020,762,439,,,3371,528,6228
23,4/17/2020,800,488,,,3331,505,6433
24,4/18/2020,791,498,,,3243,558,6229
25,4/19/2020,829,511,,,3284,545,6268
26,4/20/2020,907,526,,,3280,551,6399
27,4/21/2020,905,527,,,3438,610,6445
28,4/22/2020,890,515,,,3569,569,6385
29,4/23/2020,878,547,,,3563,561,6477
30,4/24/2020,870,538,,,3533,584,6482
31,4/25/2020,933,530,,,3497,579,6434
32,4/26/2020,978,534,,,3613,613,6478
33,4/27/2020,977,551,,,3704,597,6673
34,4/28/2020,1027,586,,,3828,576,6815
35,4/29/2020,1111,574,,,3657,633,6766
36,4/30/2020,1100,568,,,3748,607,6774
37,5/1/2020,1091,566,,,3645,606,6773
38,5/2/2020,1070,565,,,3536,609,6657
39,5/3/2020,1086,563,,,3553,585,6627
40,5/4/2020,1120,577,,,3719,602,6737
41,5/5/2020,1123,584,,,3757,626,6835
42,5/6/2020,1099,584,,,3857,640,6826
43,5/7/2020,1103,571,,,3829,650,6761
44,5/8/2020,1090,575,,,3808,620,6648
45,5/9/2020,1029,611,,,3715,545,6646
46,5/10/2020,961,581,,,3764,551,6463
47,5/11/2020,958,587,,,3859,602,6573
48,5/12/2020,975,574,,,4072,623,6780
49,5/13/2020,964,573,,,4120,642,6839
50,5/14/2020,896,599,,,4100,654,6931
51,5/15/2020,891,594,,,4042,679,6873
52,5/16/2020,890,559,,,4028,590,6663
53,5/17/2020,892,555,,,4125,611,6783
54,5/18/2020,884,537,,,4048,558,6735
55,5/19/2020,871,534,,,4344,650,6939
56,5/20/2020,848,526,,,4268,660,6882
57,5/21/2020,823,506,,,4234,646,6857
58,5/22/2020,796,524,,,4127,591,6751
59,5/23/2020,787,503,,,4132,612,6845
60,5/24/2020,762,517,,,4159,609,6781
61,5/25/2020,795,520,,,4273,631,6806
62,5/26/2020,818,520,,,4198,605,6763
63,5/27/2020,823,511,,,4503,684,7018
64,5/28/2020,789,507,,,4568,654,6953
65,5/29/2020,747,492,,,4574,631,6939
66,5/30/2020,704,479,,,4473,645,6953
67,5/31/2020,695,479,,,4413,639,6785
68,6/1/2020,667,481,,,4379,611,6862
69,6/2/2020,638,475,,,4676,653,6993
70,6/3/2020,640,456,,,4660,692,6926
71,6/4/2020,621,455,,,4710,712,6840
72,6/5/2020,641,418,,,4637,699,6818
73,6/6/2020,605,404,,,4473,724,6803
74,6/7/2020,599,392,,,4350,710,6707
75,6/8/2020,584,386,,,4473,688,6735
76,6/9/2020,576,383,,,4722,711,6790
77,6/10/2020,544,358,,,4813,748,6828
78,6/11/2020,505,331,,,4804,788,6872
79,6/12/2020,478,321,,,4890,749,6845
80,6/13/2020,447,315,,,4650,762,6824
81,6/14/2020,453,295,,,4554,735,6769
82,6/15/2020,458,284,,,4514,756,6863
83,6/16/2020,419,283,,,4815,776,6978
84,6/17/2020,391,269,,,4930,801,6935
85,6/18/2020,387,259,,,4866,780,6843
86,6/19/2020,396,240,,,4786,758,6825
87,6/20/2020,376,232,,,4670,776,6786
88,6/21/2020,357,234,,,4561,743,6758
89,6/22/2020,349,212,,,4691,741,6765
90,6/23/2020,331,213,,,5033,783,6907
91,6/24/2020,302,209,,,5207,789,6943
92,6/25/2020,297,190,,,5152,824,6922
93,6/26/2020,297,181,,,5054,791,6859
94,6/27/2020,288,158,,,4877,769,6804
95,6/28/2020,287,160,,,4703,763,6758
96,6/29/2020,300,152,,,4813,762,6797
97,6/30/2020,307,154,,,5105,811,6910
98,7/1/2020,292,149,,,5135,799,6942
99,7/2/2020,279,143,,,5053,803,6834
100,7/3/2020,267,143,,,4813,775,6755
101,7/4/2020,265,144,,,4567,732,6664
102,7/5/2020,261,142,,,4484,758,6590
103,7/6/2020,259,145,,,4657,794,6669
104,7/7/2020,262,136,,,5039,803,6886
105,7/8/2020,267,139,,,5259,819,6956
106,7/9/2020,263,122,,,5311,835,6936
107,7/10/2020,270,120,,,5243,849,6942
108,7/11/2020,275,113,,,4983,819,6822
109,7/12/2020,278,108,,,4777,773,6724
110,7/13/2020,295,117,,,4887,801,6786
111,7/14/2020,318,129,,,5231,811,6922
112,7/15/2020,299,137,,,5303,795,6928
113,7/16/2020,306,128,,,5131,808,6856
114,7/17/2020,311,137,,,4921,811,6727
115,7/18/2020,318,131,,,4923,805,6745
116,7/19/2020,327,136,,,4766,779,6677
117,7/20/2020,353,131,,,4733,782,6678
