,VACCINATION_DATE,5-11 percent,12-17 percent,18-49 percent,50-64 percent,65 and Older percent,5-11 total,12-17 total,18-49 total,50-64 total,65 and Older total
0,2020-12-14 15:00:00,,,0.0,0.0,0.0,,,12,3,2
1,2020-12-15 15:00:00,,,0.002,0.002,0.001,,,40,28,5
2,2020-12-16 15:00:00,,,0.019,0.012,0.003,,,471,152,30
3,2020-12-17 15:00:00,,,0.049,0.038,0.009000000000000001,,,1244,469,90
4,2020-12-18 15:00:00,,,0.124,0.113,0.028999999999999998,,,3128,1390,283
5,2020-12-19 15:00:00,,,0.147,0.136,0.036000000000000004,,,3706,1676,342
6,2020-12-20 15:00:00,,,0.156,0.14400000000000002,0.038,,,3937,1769,363
7,2020-12-21 15:00:00,,,0.257,0.23399999999999999,0.061,,,6477,2874,587
8,2020-12-22 15:00:00,,0.002,0.38299999999999995,0.382,0.196,,8.0,9659,4687,1882
9,2020-12-23 15:00:00,,0.002,0.511,0.529,0.26899999999999996,,9.0,12898,6497,2583
10,2020-12-24 15:00:00,,,0.575,0.601,0.293,,,14497,7383,2815
11,2020-12-25 15:00:00,,0.004,0.586,0.629,0.33399999999999996,,18.0,14790,7721,3208
12,2020-12-26 15:00:00,,,0.615,0.679,0.389,,,15517,8342,3735
13,2020-12-27 15:00:00,,0.004,0.645,0.722,0.442,,20.0,16280,8870,4242
14,2020-12-28 15:00:00,,0.005,0.843,0.948,0.5660000000000001,,24.0,21282,11644,5428
15,2020-12-29 15:00:00,,0.006,1.069,1.237,0.7440000000000001,,25.0,26976,15187,7134
16,2020-12-30 15:00:00,,0.006,1.3519999999999999,1.5619999999999998,0.883,,28.0,34117,19182,8473
17,2020-12-31 15:00:00,,0.006999999999999999,1.5230000000000001,1.7530000000000001,0.973,,30.0,38440,21528,9336
18,2021-01-01 15:00:00,,0.008,1.564,1.8130000000000002,1.085,,37.0,39472,22262,10407
19,2021-01-02 15:00:00,,0.008,1.621,1.874,1.17,,38.0,40908,23021,11221
20,2021-01-03 15:00:00,,0.009000000000000001,1.685,1.956,1.252,,39.0,42512,24020,12008
