,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
0,ADAMS,2020-12-15,0.0,0.0,2.0,0.0,2.0
1,ADAMS,2020-12-23,0.0,39.0,0.0,0.0,39.0
2,ADAMS,2020-12-28,0.0,37.0,0.0,0.0,37.0
3,ADAMS,2020-12-29,0.0,20.0,0.0,0.0,20.0
4,ADAMS,2020-12-30,0.0,3.0,0.0,0.0,3.0
5,ADAMS,2020-12-31,0.0,1.0,0.0,0.0,1.0
6,ADAMS,2021-01-04,0.0,2.0,0.0,0.0,2.0
7,ADAMS,2021-01-05,0.0,3.0,1.0,0.0,4.0
8,ADAMS,2021-01-06,0.0,0.0,53.0,0.0,53.0
9,ADAMS,2021-01-07,0.0,10.0,5.0,0.0,15.0
10,ADAMS,2021-01-08,0.0,0.0,4.0,0.0,4.0
11,ADAMS,2021-01-12,0.0,1.0,0.0,0.0,1.0
12,ADAMS,2021-01-13,0.0,9.0,0.0,0.0,9.0
13,ADAMS,2021-01-14,0.0,0.0,1.0,0.0,1.0
14,ADAMS,2021-01-15,0.0,0.0,2.0,0.0,2.0
15,ADAMS,2021-01-20,0.0,38.0,0.0,0.0,38.0
16,ADAMS,2021-01-21,0.0,5.0,0.0,0.0,5.0
17,ADAMS,2021-01-22,0.0,1.0,0.0,0.0,1.0
18,ADAMS,2021-01-23,0.0,35.0,0.0,0.0,35.0
19,ADAMS,2021-01-25,0.0,37.0,0.0,0.0,37.0
20,ADAMS,2021-01-26,0.0,115.0,59.0,0.0,174.0
21,ADAMS,2021-01-27,0.0,0.0,2.0,0.0,2.0
22,ADAMS,2021-01-28,0.0,2.0,1.0,0.0,3.0
23,ADAMS,2021-01-29,0.0,0.0,8.0,0.0,8.0
24,ADAMS,2021-02-01,0.0,1.0,0.0,0.0,1.0
25,ADAMS,2021-02-02,0.0,3.0,0.0,0.0,3.0
26,ADAMS,2021-02-03,0.0,0.0,5.0,0.0,5.0
27,ADAMS,2021-02-04,0.0,8.0,21.0,0.0,29.0
28,ADAMS,2021-02-05,0.0,0.0,13.0,0.0,13.0
29,ADAMS,2021-02-09,0.0,13.0,1.0,0.0,14.0
30,ADAMS,2021-02-10,0.0,9.0,2.0,0.0,11.0
31,ADAMS,2021-02-11,0.0,21.0,0.0,0.0,21.0
32,ADAMS,2021-02-12,0.0,33.0,0.0,0.0,33.0
33,ADAMS,2021-02-15,0.0,45.0,0.0,0.0,45.0
34,ADAMS,2021-02-16,0.0,1.0,0.0,0.0,1.0
35,ADAMS,2021-02-17,0.0,6.0,13.0,0.0,19.0
36,ADAMS,2021-02-18,0.0,3.0,1.0,0.0,4.0
37,ADAMS,2021-02-19,0.0,1.0,4.0,0.0,5.0
38,ADAMS,2021-02-20,0.0,33.0,1.0,0.0,34.0
39,ADAMS,2021-02-22,0.0,0.0,5.0,0.0,5.0
40,ADAMS,2021-02-23,0.0,134.0,37.0,0.0,171.0
41,ADAMS,2021-02-24,0.0,0.0,21.0,0.0,21.0
42,ADAMS,2021-02-25,0.0,10.0,41.0,0.0,51.0
43,ADAMS,2021-02-26,0.0,4.0,1.0,0.0,5.0
44,ADAMS,2021-03-01,0.0,22.0,1.0,0.0,23.0
45,ADAMS,2021-03-02,0.0,18.0,2.0,0.0,20.0
46,ADAMS,2021-03-03,0.0,24.0,19.0,0.0,43.0
47,ADAMS,2021-03-04,0.0,0.0,12.0,0.0,12.0
48,ADAMS,2021-03-05,0.0,0.0,6.0,0.0,6.0
49,ADAMS,2021-03-09,0.0,9.0,0.0,0.0,9.0
50,ADAMS,2021-03-11,0.0,22.0,2.0,0.0,24.0
