,County,state_of_residence,# with >= 1 dose COVID vaccine Age 05-11,# with >= 1 dose COVID vaccine Age 12-18,# with >= 1 dose COVID vaccine Age 19-29,# with >= 1 dose COVID vaccine Age 30-39,# with >= 1 dose COVID vaccine Age 40-49,# with >= 1 dose COVID vaccine Age 50-59,# with >= 1 dose COVID vaccine Age 60-69,# with >= 1 dose COVID vaccine Age 70-79,# with >= 1 dose COVID vaccine Age 80 and over,# primary series complete Age 05-11,# primary series complete Age 12-18,# primary series complete Age 19-29,# primary series complete Age 30-39,# primary series complete Age 40-49,# primary series complete Age 50-59,# primary series complete Age 60-69,# primary series complete Age 70-79,# primary series complete Age 80 and over
0,ADAMS,ND,10.0,39.0,72.0,108.0,102.0,175.0,274.0,202.0,137.0,1.0,32.0,62.0,95.0,94.0,165.0,262.0,189.0,131.0
1,BARNES,ND,139.0,409.0,720.0,642.0,685.0,916.0,1257.0,837.0,583.0,96.0,395.0,666.0,610.0,676.0,893.0,1257.0,823.0,564.0
2,BENSON,ND,113.0,528.0,510.0,478.0,406.0,472.0,599.0,334.0,166.0,36.0,498.0,478.0,463.0,385.0,460.0,598.0,328.0,163.0
3,BILLINGS,ND,2.0,5.0,47.0,37.0,21.0,29.0,35.0,33.0,7.0,1.0,4.0,42.0,31.0,21.0,27.0,36.0,30.0,7.0
4,BOTTINEAU,ND,28.0,203.0,252.0,295.0,304.0,447.0,788.0,599.0,291.0,6.0,192.0,225.0,276.0,290.0,437.0,757.0,567.0,281.0
5,BOWMAN,ND,3.0,53.0,70.0,124.0,129.0,156.0,333.0,222.0,166.0,3.0,47.0,61.0,116.0,119.0,144.0,316.0,198.0,157.0
6,BURKE,ND,2.0,29.0,52.0,97.0,85.0,141.0,224.0,164.0,72.0,2.0,26.0,40.0,84.0,80.0,137.0,214.0,158.0,69.0
7,BURLEIGH,ND,1003.0,3230.0,6351.0,7878.0,6823.0,7281.0,8928.0,5744.0,3578.0,447.0,2926.0,5713.0,7428.0,6504.0,7045.0,8629.0,5360.0,3406.0
8,CASS,ND,4264.0,9220.0,21878.0,21287.0,16736.0,15342.0,15604.0,8584.0,4907.0,2178.0,8614.0,20321.0,20476.0,16555.0,15368.0,15375.0,8084.0,4618.0
9,CAVALIER,ND,68.0,125.0,229.0,259.0,202.0,334.0,482.0,358.0,266.0,45.0,123.0,219.0,260.0,197.0,342.0,496.0,359.0,264.0
10,DICKEY,ND,62.0,190.0,215.0,242.0,293.0,388.0,540.0,389.0,267.0,40.0,184.0,205.0,232.0,294.0,397.0,551.0,391.0,265.0
11,DIVIDE,ND,7.0,52.0,60.0,124.0,110.0,133.0,206.0,166.0,92.0,2.0,51.0,55.0,116.0,102.0,132.0,207.0,162.0,90.0
12,DUNN,ND,13.0,33.0,123.0,128.0,121.0,179.0,275.0,161.0,126.0,3.0,30.0,103.0,112.0,114.0,167.0,258.0,154.0,122.0
13,EDDY,ND,18.0,58.0,122.0,133.0,114.0,180.0,261.0,178.0,150.0,6.0,54.0,115.0,127.0,116.0,179.0,266.0,177.0,149.0
14,EMMONS,ND,6.0,40.0,44.0,73.0,94.0,163.0,317.0,234.0,202.0,4.0,33.0,41.0,67.0,84.0,153.0,300.0,219.0,193.0
15,FOSTER,ND,29.0,112.0,177.0,208.0,216.0,285.0,435.0,257.0,206.0,21.0,108.0,162.0,208.0,216.0,301.0,442.0,253.0,204.0
16,GOLDEN VALLEY,ND,11.0,36.0,30.0,36.0,66.0,83.0,147.0,116.0,62.0,4.0,29.0,26.0,30.0,58.0,74.0,138.0,111.0,56.0
17,GRAND FORKS,ND,1336.0,3117.0,8846.0,6669.0,5114.0,5512.0,6425.0,3692.0,2108.0,668.0,2858.0,8122.0,6254.0,4883.0,5256.0,6096.0,3405.0,1983.0
18,GRANT,ND,2.0,14.0,33.0,46.0,44.0,66.0,163.0,144.0,103.0,,13.0,25.0,42.0,43.0,61.0,159.0,136.0,100.0
19,GRIGGS,ND,14.0,51.0,69.0,91.0,111.0,142.0,255.0,230.0,135.0,8.0,49.0,64.0,90.0,105.0,143.0,253.0,228.0,131.0
20,HETTINGER,ND,2.0,33.0,60.0,92.0,88.0,167.0,269.0,209.0,127.0,2.0,30.0,50.0,87.0,83.0,157.0,257.0,201.0,118.0
21,KIDDER,ND,,27.0,65.0,90.0,88.0,126.0,236.0,144.0,95.0,,22.0,53.0,86.0,81.0,121.0,222.0,135.0,88.0
22,LAMOURE,ND,29.0,103.0,152.0,170.0,229.0,282.0,512.0,328.0,259.0,6.0,94.0,138.0,154.0,219.0,280.0,497.0,310.0,257.0
23,LOGAN,ND,9.0,16.0,37.0,48.0,61.0,89.0,168.0,153.0,133.0,1.0,14.0,33.0,53.0,56.0,82.0,164.0,152.0,128.0
24,MCHENRY,ND,16.0,114.0,151.0,228.0,289.0,399.0,592.0,405.0,264.0,3.0,108.0,137.0,217.0,280.0,387.0,584.0,388.0,260.0
25,MCINTOSH,ND,3.0,37.0,75.0,99.0,92.0,142.0,254.0,180.0,244.0,,36.0,67.0,93.0,81.0,137.0,247.0,174.0,239.0
26,MCKENZIE,ND,61.0,271.0,517.0,653.0,510.0,619.0,621.0,331.0,157.0,18.0,204.0,414.0,565.0,455.0,559.0,577.0,315.0,155.0
27,MCLEAN,ND,56.0,211.0,390.0,542.0,521.0,705.0,1185.0,819.0,413.0,5.0,188.0,332.0,488.0,462.0,659.0,1132.0,770.0,383.0
28,MERCER,ND,18.0,111.0,258.0,305.0,355.0,500.0,887.0,528.0,342.0,4.0,99.0,218.0,285.0,349.0,491.0,868.0,519.0,333.0
29,MORTON,ND,187.0,789.0,1749.0,2184.0,1921.0,2200.0,2964.0,1877.0,1129.0,56.0,689.0,1542.0,2014.0,1808.0,2126.0,2846.0,1818.0,1090.0
30,MOUNTRAIL,ND,144.0,524.0,718.0,803.0,712.0,765.0,869.0,440.0,212.0,17.0,411.0,579.0,691.0,606.0,698.0,810.0,403.0,197.0
31,ND-COUNTY UNKNOWN,ND,2.0,,3.0,5.0,2.0,,5.0,1.0,,2.0,,2.0,2.0,2.0,,5.0,1.0,
32,NELSON,ND,44.0,106.0,129.0,190.0,183.0,304.0,515.0,359.0,242.0,27.0,106.0,129.0,191.0,186.0,314.0,520.0,351.0,241.0
33,OLIVER,ND,6.0,31.0,22.0,53.0,67.0,85.0,124.0,115.0,29.0,1.0,28.0,19.0,49.0,61.0,76.0,124.0,114.0,30.0
34,OUTOFSTATE-UNKNOWN,-1,,,,,1.0,,,,,,,,,1.0,,,,
35,OUTOFSTATE-UNKNOWN,11,,,1.0,,,,,,,,,1.0,,,,,,
36,OUTOFSTATE-UNKNOWN,AB,,2.0,20.0,34.0,37.0,34.0,12.0,4.0,2.0,,1.0,4.0,14.0,13.0,11.0,4.0,1.0,2.0
37,OUTOFSTATE-UNKNOWN,AE,,,1.0,1.0,,,1.0,,,,,2.0,1.0,,,,,
38,OUTOFSTATE-UNKNOWN,AK,,6.0,13.0,5.0,5.0,6.0,13.0,6.0,2.0,,2.0,10.0,4.0,1.0,5.0,10.0,1.0,1.0
39,OUTOFSTATE-UNKNOWN,AL,,2.0,16.0,19.0,17.0,10.0,7.0,5.0,1.0,,1.0,12.0,7.0,11.0,8.0,6.0,3.0,
40,OUTOFSTATE-UNKNOWN,AR,,2.0,9.0,11.0,10.0,9.0,9.0,1.0,1.0,,2.0,5.0,6.0,8.0,6.0,4.0,,1.0
41,OUTOFSTATE-UNKNOWN,AZ,3.0,21.0,76.0,36.0,41.0,76.0,141.0,114.0,33.0,,9.0,54.0,19.0,22.0,44.0,98.0,68.0,19.0
42,OUTOFSTATE-UNKNOWN,BC,,,5.0,4.0,1.0,3.0,2.0,4.0,,,,2.0,2.0,1.0,1.0,2.0,2.0,
43,OUTOFSTATE-UNKNOWN,CA,1.0,18.0,160.0,93.0,59.0,57.0,33.0,31.0,6.0,1.0,10.0,113.0,56.0,36.0,26.0,21.0,15.0,5.0
44,OUTOFSTATE-UNKNOWN,CN,,,,,,,1.0,1.0,,,,,,,,,1.0,
45,OUTOFSTATE-UNKNOWN,CO,,22.0,80.0,62.0,39.0,40.0,38.0,15.0,7.0,,13.0,57.0,29.0,21.0,18.0,22.0,6.0,4.0
46,OUTOFSTATE-UNKNOWN,CT,,1.0,13.0,3.0,,4.0,2.0,,1.0,,,9.0,1.0,,3.0,,,1.0
47,OUTOFSTATE-UNKNOWN,D,,,1.0,,,,,,,,,2.0,,,,,,
48,OUTOFSTATE-UNKNOWN,DC,,1.0,,3.0,4.0,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,
49,OUTOFSTATE-UNKNOWN,DE,,,1.0,1.0,,,2.0,,,,,,1.0,,,1.0,,
50,OUTOFSTATE-UNKNOWN,FC,,,2.0,,1.0,,,,,,,2.0,,1.0,,,,
51,OUTOFSTATE-UNKNOWN,FL,3.0,16.0,64.0,56.0,70.0,79.0,78.0,45.0,4.0,2.0,7.0,31.0,30.0,50.0,54.0,49.0,25.0,3.0
52,OUTOFSTATE-UNKNOWN,GA,,2.0,26.0,32.0,16.0,19.0,13.0,2.0,2.0,,1.0,18.0,15.0,11.0,14.0,4.0,,2.0
53,OUTOFSTATE-UNKNOWN,HI,,1.0,9.0,2.0,2.0,1.0,5.0,1.0,,,1.0,10.0,1.0,,,4.0,1.0,
54,OUTOFSTATE-UNKNOWN,IA,,10.0,32.0,15.0,15.0,20.0,23.0,5.0,1.0,,3.0,27.0,9.0,8.0,11.0,16.0,3.0,
55,OUTOFSTATE-UNKNOWN,ID,,3.0,21.0,16.0,15.0,11.0,6.0,2.0,1.0,,1.0,13.0,8.0,8.0,7.0,5.0,1.0,1.0
56,OUTOFSTATE-UNKNOWN,IL,2.0,10.0,80.0,45.0,35.0,20.0,20.0,9.0,4.0,1.0,8.0,60.0,29.0,23.0,15.0,8.0,4.0,2.0
57,OUTOFSTATE-UNKNOWN,IN,,2.0,28.0,14.0,14.0,12.0,10.0,3.0,,,2.0,16.0,9.0,8.0,9.0,5.0,3.0,
58,OUTOFSTATE-UNKNOWN,KS,,7.0,24.0,15.0,12.0,15.0,7.0,5.0,1.0,,5.0,20.0,5.0,8.0,8.0,3.0,2.0,1.0
