,City,status,Number,rpt_date
0,,Active,173,12/7/2021
1,,Deceased,165,12/7/2021
2,,Recovered*,16115,12/7/2021
3,Achille,Active,1 to 4,12/7/2021
4,Achille,Deceased,1 to 4,12/7/2021
5,Achille,Recovered*,80,12/7/2021
6,Ada,Active,66,12/7/2021
7,Ada,Deceased,88,12/7/2021
8,Ada,Recovered*,5751,12/7/2021
9,Adair,Active,19,12/7/2021
10,Adair,Deceased,1 to 4,12/7/2021
11,Adair,Recovered*,450,12/7/2021
12,Addington,Recovered*,14,12/7/2021
13,Afton,Active,13,12/7/2021
14,Afton,Deceased,14,12/7/2021
15,Afton,Recovered*,995,12/7/2021
16,Agra,Deceased,1 to 4,12/7/2021
17,Agra,Recovered*,168,12/7/2021
18,Albion,Recovered*,23,12/7/2021
19,Alderson,Deceased,1 to 4,12/7/2021
20,Alderson,Recovered*,45,12/7/2021
21,Alex,Active,8,12/7/2021
22,Alex,Deceased,5,12/7/2021
23,Alex,Recovered*,176,12/7/2021
24,Aline,Active,8,12/7/2021
25,Aline,Deceased,1 to 4,12/7/2021
26,Aline,Recovered*,82,12/7/2021
27,Allen,Active,1 to 4,12/7/2021
28,Allen,Deceased,1 to 4,12/7/2021
29,Allen,Recovered*,355,12/7/2021
30,Altus,Active,68,12/7/2021
31,Altus,Deceased,77,12/7/2021
32,Altus,Recovered*,3361,12/7/2021
33,Alva,Active,18,12/7/2021
34,Alva,Deceased,26,12/7/2021
35,Alva,Recovered*,1379,12/7/2021
36,Amber,Active,9,12/7/2021
37,Amber,Deceased,7,12/7/2021
38,Amber,Recovered*,136,12/7/2021
39,Ames,Recovered*,78,12/7/2021
40,Amorita,Recovered*,20,12/7/2021
41,Anadarko,Active,54,12/7/2021
42,Anadarko,Deceased,47,12/7/2021
43,Anadarko,Recovered*,1778,12/7/2021
44,Antlers,Active,1 to 4,12/7/2021
45,Antlers,Deceased,24,12/7/2021
46,Antlers,Recovered*,964,12/7/2021
47,Apache,Active,11,12/7/2021
48,Apache,Deceased,11,12/7/2021
49,Apache,Recovered*,682,12/7/2021
50,Arapaho,Active,1 to 4,12/7/2021
51,Arapaho,Deceased,5,12/7/2021
52,Arapaho,Recovered*,214,12/7/2021
53,Arcadia,Active,17,12/7/2021
54,Arcadia,Deceased,1 to 4,12/7/2021
55,Arcadia,Recovered*,445,12/7/2021
56,Ardmore,Active,76,12/7/2021
57,Ardmore,Deceased,136,12/7/2021
58,Ardmore,Recovered*,6823,12/7/2021
59,Arkoma,Active,1 to 4,12/7/2021
60,Arkoma,Deceased,1 to 4,12/7/2021
61,Arkoma,Recovered*,236,12/7/2021
62,Arnett,Active,8,12/7/2021
63,Arnett,Deceased,1 to 4,12/7/2021
64,Arnett,Recovered*,98,12/7/2021
65,Asher,Active,1 to 4,12/7/2021
66,Asher,Deceased,1 to 4,12/7/2021
67,Asher,Recovered*,184,12/7/2021
68,Atoka,Active,10,12/7/2021
69,Atoka,Deceased,29,12/7/2021
70,Atoka,Recovered*,2165,12/7/2021
71,Atwood,Deceased,1 to 4,12/7/2021
72,Atwood,Recovered*,44,12/7/2021
73,Avant,Active,1 to 4,12/7/2021
74,Avant,Deceased,1 to 4,12/7/2021
75,Avant,Recovered*,56,12/7/2021
76,Barnsdall,Active,14,12/7/2021
77,Barnsdall,Deceased,10,12/7/2021
78,Barnsdall,Recovered*,377,12/7/2021
79,Bartlesville,Active,86,12/7/2021
80,Bartlesville,Deceased,161,12/7/2021
81,Bartlesville,Recovered*,6559,12/7/2021
82,Bearden,Recovered*,1 to 4,12/7/2021
83,Beaver,Active,8,12/7/2021
84,Beaver,Deceased,6,12/7/2021
85,Beaver,Recovered*,284,12/7/2021
86,Beggs,Active,16,12/7/2021
87,Beggs,Deceased,10,12/7/2021
88,Beggs,Recovered*,711,12/7/2021
89,Bennington,Deceased,1 to 4,12/7/2021
90,Bennington,Recovered*,243,12/7/2021
91,Bernice,Deceased,1 to 4,12/7/2021
92,Bernice,Recovered*,66,12/7/2021
93,Bessie,Active,1 to 4,12/7/2021
94,Bessie,Deceased,1 to 4,12/7/2021
95,Bessie,Recovered*,49,12/7/2021
96,Bethany,Active,58,12/7/2021
97,Bethany,Deceased,56,12/7/2021
98,Bethany,Recovered*,2964,12/7/2021
99,Bethel Acres,Recovered*,1 to 4,12/7/2021
100,Big Cabin,Active,6,12/7/2021
101,Big Cabin,Deceased,6,12/7/2021
102,Big Cabin,Recovered*,343,12/7/2021
103,Billings,Active,1 to 4,12/7/2021
104,Billings,Deceased,1 to 4,12/7/2021
105,Billings,Recovered*,214,12/7/2021
106,Binger,Active,1 to 4,12/7/2021
107,Binger,Deceased,15,12/7/2021
108,Binger,Recovered*,255,12/7/2021
109,Bixby,Active,98,12/7/2021
110,Bixby,Deceased,59,12/7/2021
111,Bixby,Recovered*,5457,12/7/2021
112,Blackburn,Active,1 to 4,12/7/2021
113,Blackburn,Recovered*,9,12/7/2021
114,Blackwell,Active,41,12/7/2021
115,Blackwell,Deceased,41,12/7/2021
116,Blackwell,Recovered*,947,12/7/2021
117,Blair,Active,19,12/7/2021
118,Blair,Deceased,6,12/7/2021
119,Blair,Recovered*,341,12/7/2021
120,Blanchard,Active,52,12/7/2021
121,Blanchard,Deceased,50,12/7/2021
122,Blanchard,Recovered*,3450,12/7/2021
123,Bluejacket,Active,8,12/7/2021
124,Bluejacket,Deceased,1 to 4,12/7/2021
125,Bluejacket,Recovered*,228,12/7/2021
126,Boise City,Active,17,12/7/2021
127,Boise City,Deceased,1 to 4,12/7/2021
128,Boise City,Recovered*,229,12/7/2021
129,Bokchito,Active,1 to 4,12/7/2021
130,Bokchito,Deceased,1 to 4,12/7/2021
131,Bokchito,Recovered*,392,12/7/2021
132,Bokoshe,Active,12,12/7/2021
133,Bokoshe,Deceased,5,12/7/2021
134,Bokoshe,Recovered*,324,12/7/2021
135,Boley,Deceased,11,12/7/2021
136,Boley,Recovered*,565,12/7/2021
137,Boswell,Active,1 to 4,12/7/2021
138,Boswell,Deceased,5,12/7/2021
139,Boswell,Recovered*,426,12/7/2021
140,Bowlegs,Deceased,1 to 4,12/7/2021
141,Bowlegs,Recovered*,24,12/7/2021
142,Boynton,Active,1 to 4,12/7/2021
143,Boynton,Deceased,1 to 4,12/7/2021
144,Boynton,Recovered*,102,12/7/2021
145,Bradley,Active,1 to 4,12/7/2021
146,Bradley,Deceased,1 to 4,12/7/2021
147,Bradley,Recovered*,46,12/7/2021
148,Braggs,Active,1 to 4,12/7/2021
149,Braggs,Deceased,1 to 4,12/7/2021
150,Braggs,Recovered*,183,12/7/2021
151,Braman,Deceased,1 to 4,12/7/2021
152,Braman,Recovered*,50,12/7/2021
153,Bray,Recovered*,1 to 4,12/7/2021
154,Bridge Creek,Recovered*,1 to 4,12/7/2021
