,RPT_Date,Jurisdictions,Cases,DoD_Cases,DoD_Cases_7dy,DoD_Cases_7dy_ave
0,22SEP2020,,58.0,,0.0,
1,23SEP2020,,54.0,-4.0,-4.0,
2,24SEP2020,,51.0,-3.0,-7.0,
3,25SEP2020,,62.0,11.0,4.0,
4,26SEP2020,,50.0,-12.0,-8.0,
5,27SEP2020,,51.0,1.0,-7.0,
6,28SEP2020,,51.0,0.0,-7.0,-1.0
7,29SEP2020,,23.0,-28.0,-35.0,-5.0
8,30SEP2020,,29.0,6.0,-25.0,-3.571428571
9,01OCT2020,,11.0,-18.0,-40.0,-5.714285714
10,02OCT2020,,16.0,5.0,-46.0,-6.571428571
11,03OCT2020,,30.0,14.0,-20.0,-2.857142857
12,04OCT2020,,42.0,12.0,-9.0,-1.285714286
13,05OCT2020,,39.0,-3.0,-12.0,-1.714285714
14,06OCT2020,,42.0,3.0,19.0,2.7142857143
15,07OCT2020,,36.0,-6.0,7.0,1.0
16,08OCT2020,,25.0,-11.0,14.0,2.0
17,09OCT2020,,33.0,8.0,17.0,2.4285714286
18,10OCT2020,,39.0,6.0,9.0,1.2857142857
19,11OCT2020,,23.0,-16.0,-19.0,-2.714285714
20,12OCT2020,,32.0,9.0,-7.0,-1.0
21,13OCT2020,,21.0,-11.0,-21.0,-3.0
22,14OCT2020,,26.0,5.0,-10.0,-1.428571429
23,15OCT2020,,21.0,-5.0,-4.0,-0.571428571
24,16OCT2020,,17.0,-4.0,-16.0,-2.285714286
25,17OCT2020,,21.0,4.0,-18.0,-2.5714285709999998
26,18OCT2020,,21.0,0.0,-2.0,-0.28571428600000004
27,19OCT2020,,21.0,0.0,-11.0,-1.571428571
28,20OCT2020,,15.0,-6.0,-6.0,-0.857142857
29,21OCT2020,,8.0,-7.0,-18.0,-2.5714285709999998
30,22OCT2020,,7.0,-1.0,-14.0,-2.0
31,23OCT2020,,12.0,5.0,-5.0,-0.7142857140000001
32,24OCT2020,,8.0,-4.0,-13.0,-1.857142857
33,25OCT2020,,6.0,-2.0,-15.0,-2.142857143
34,26OCT2020,,6.0,0.0,-15.0,-2.142857143
35,27OCT2020,,6.0,0.0,-9.0,-1.285714286
36,28OCT2020,,9.0,3.0,1.0,0.14285714289999998
37,29OCT2020,,3.0,-6.0,-4.0,-0.571428571
38,30OCT2020,,5.0,2.0,-7.0,-1.0
39,31OCT2020,,5.0,0.0,-3.0,-0.428571429
40,01NOV2020,,3.0,-2.0,-3.0,-0.428571429
41,02NOV2020,,9.0,6.0,3.0,0.42857142859999997
42,03NOV2020,,16.0,7.0,10.0,1.4285714286000002
43,04NOV2020,,19.0,3.0,10.0,1.4285714286000002
44,05NOV2020,,26.0,7.0,23.0,3.2857142857
45,06NOV2020,,30.0,4.0,25.0,3.5714285714
46,08NOV2020,,92.0,62.0,87.0,12.428571429000002
47,09NOV2020,,87.0,-5.0,84.0,12.0
48,10NOV2020,,62.0,-25.0,53.0,7.5714285714
49,11NOV2020,,38.0,-24.0,22.0,3.1428571429
50,12NOV2020,,25.0,-13.0,6.0,0.8571428570999999
51,13NOV2020,,32.0,7.0,6.0,0.8571428570999999
52,14NOV2020,,39.0,7.0,9.0,1.2857142857
53,15NOV2020,,57.0,18.0,-35.0,-5.0
54,16NOV2020,,75.0,18.0,-12.0,-1.714285714
55,17NOV2020,,78.0,3.0,16.0,2.2857142857
56,18NOV2020,,103.0,25.0,65.0,9.285714285700001
57,19NOV2020,,127.0,24.0,102.0,14.571428570999998
58,20NOV2020,,87.0,-40.0,55.0,7.8571428571
59,21NOV2020,,89.0,2.0,50.0,7.1428571429
60,22NOV2020,,62.0,-27.0,5.0,0.7142857143000001
61,23NOV2020,,65.0,3.0,-10.0,-1.428571429
62,24NOV2020,,57.0,-8.0,-21.0,-3.0
63,25NOV2020,,71.0,14.0,-32.0,-4.571428571
64,26NOV2020,,76.0,5.0,-51.0,-7.285714286
65,27NOV2020,,69.0,-7.0,-18.0,-2.5714285709999998
66,28NOV2020,,72.0,3.0,-17.0,-2.4285714290000002
67,29NOV2020,,44.0,-28.0,-18.0,-2.5714285709999998
68,30NOV2020,,55.0,11.0,-10.0,-1.428571429
69,01DEC2020,,55.0,0.0,-2.0,-0.28571428600000004
70,02DEC2020,,65.0,10.0,-6.0,-0.857142857
71,03DEC2020,,84.0,19.0,8.0,1.1428571429
72,04DEC2020,,71.0,-13.0,2.0,0.2857142857
73,05DEC2020,,66.0,-5.0,-6.0,-0.857142857
74,06DEC2020,,58.0,-8.0,14.0,2.0
75,07DEC2020,,58.0,0.0,3.0,0.42857142859999997
76,08DEC2020,,58.0,0.0,3.0,0.42857142859999997
77,09DEC2020,,68.0,10.0,3.0,0.42857142859999997
78,10DEC2020,,60.0,-8.0,-24.0,-3.428571429
79,11DEC2020,,75.0,15.0,4.0,0.5714285714
80,12DEC2020,,107.0,32.0,41.0,5.8571428571
81,13DEC2020,,114.0,7.0,56.0,8.0
82,14DEC2020,,94.0,-20.0,36.0,5.1428571429000005
83,15DEC2020,,78.0,-16.0,20.0,2.8571428571
84,16DEC2020,,70.0,-8.0,2.0,0.2857142857
85,17DEC2020,,86.0,16.0,26.0,3.7142857143
86,18DEC2020,,74.0,-12.0,-1.0,-0.14285714300000002
87,19DEC2020,,67.0,-7.0,-40.0,-5.714285714
88,20DEC2020,,90.0,23.0,-24.0,-3.428571429
89,21DEC2020,,92.0,2.0,-2.0,-0.28571428600000004
90,22DEC2020,,97.0,5.0,19.0,2.7142857143
91,23DEC2020,,105.0,8.0,35.0,5.0
92,24DEC2020,,124.0,19.0,38.0,5.4285714286
93,25DEC2020,,137.0,13.0,63.0,9.0
94,26DEC2020,,151.0,14.0,84.0,12.0
95,27DEC2020,,153.0,2.0,63.0,9.0
96,28DEC2020,,184.0,31.0,92.0,13.142857142999999
97,29DEC2020,,209.0,25.0,112.0,16.0
98,30DEC2020,,222.0,13.0,117.0,16.714285714000003
99,31DEC2020,,236.0,14.0,112.0,16.0
100,01JAN2021,,296.0,60.0,159.0,22.714285714000003
101,02JAN2021,,436.0,140.0,285.0,40.714285714
102,03JAN2021,,460.0,24.0,307.0,43.857142857
103,04JAN2021,,456.0,-4.0,272.0,38.857142857
104,05JAN2021,,456.0,0.0,247.0,35.285714286
105,06JAN2021,,461.0,5.0,239.0,34.142857143
106,07JAN2021,,423.0,-38.0,187.0,26.714285714000003
107,08JAN2021,,182.0,-241.0,-114.0,-16.28571429
108,09JAN2021,,101.0,-81.0,-335.0,-47.85714286
109,10JAN2021,,100.0,-1.0,-360.0,-51.42857143
110,11JAN2021,,99.0,-1.0,-357.0,-51.0
111,12JAN2021,,99.0,0.0,-357.0,-51.0
112,13JAN2021,,115.0,16.0,-346.0,-49.42857143
113,14JAN2021,,117.0,2.0,-306.0,-43.71428571
114,15JAN2021,,133.0,16.0,-49.0,-7.0
115,16JAN2021,,143.0,10.0,42.0,6.0
116,17JAN2021,,144.0,1.0,44.0,6.2857142857
117,18JAN2021,,146.0,2.0,47.0,6.7142857143
118,19JAN2021,,146.0,0.0,47.0,6.7142857143
119,20JAN2021,,154.0,8.0,39.0,5.5714285714
120,21JAN2021,,143.0,-11.0,26.0,3.7142857143
121,22JAN2021,,144.0,1.0,11.0,1.5714285713999998
122,23JAN2021,,123.0,-21.0,-20.0,-2.857142857
123,24JAN2021,,89.0,-34.0,-55.0,-7.857142857
124,25JAN2021,,90.0,1.0,-56.0,-8.0
125,26JAN2021,,90.0,0.0,-56.0,-8.0
126,27JAN2021,,94.0,4.0,-60.0,-8.571428571
127,28JAN2021,,89.0,-5.0,-54.0,-7.714285714
128,29JAN2021,,89.0,0.0,-55.0,-7.857142857
