,zip,status,Number,rpt_date
0,,Active,1126,02/01/2022
1,,Deceased,161,02/01/2022
2,,Recovered*,10727,02/01/2022
3,73002.0,Active,19,02/01/2022
4,73002.0,Deceased,7,02/01/2022
5,73002.0,Recovered*,240,02/01/2022
6,73003.0,Active,588,02/01/2022
7,73003.0,Deceased,41,02/01/2022
8,73003.0,Recovered*,4432,02/01/2022
9,73004.0,Active,21,02/01/2022
10,73004.0,Deceased,7,02/01/2022
11,73004.0,Recovered*,209,02/01/2022
12,73005.0,Active,282,02/01/2022
13,73005.0,Deceased,48,02/01/2022
14,73005.0,Recovered*,2568,02/01/2022
15,73006.0,Active,107,02/01/2022
16,73006.0,Deceased,10,02/01/2022
17,73006.0,Recovered*,891,02/01/2022
18,73007.0,Active,72,02/01/2022
19,73007.0,Deceased,1 to 4,02/01/2022
20,73007.0,Recovered*,645,02/01/2022
21,73008.0,Active,427,02/01/2022
22,73008.0,Deceased,59,02/01/2022
23,73008.0,Recovered*,4046,02/01/2022
24,73009.0,Active,41,02/01/2022
25,73009.0,Deceased,14,02/01/2022
26,73009.0,Recovered*,337,02/01/2022
27,73010.0,Active,611,02/01/2022
28,73010.0,Deceased,54,02/01/2022
29,73010.0,Recovered*,4695,02/01/2022
30,73011.0,Active,10,02/01/2022
31,73011.0,Deceased,1 to 4,02/01/2022
32,73011.0,Recovered*,67,02/01/2022
33,73012.0,Active,1028,02/01/2022
34,73012.0,Deceased,57,02/01/2022
35,73012.0,Recovered*,8083,02/01/2022
36,73013.0,Active,1396,02/01/2022
37,73013.0,Deceased,108,02/01/2022
38,73013.0,Recovered*,11100,02/01/2022
39,73014.0,Active,32,02/01/2022
40,73014.0,Deceased,1 to 4,02/01/2022
41,73014.0,Recovered*,326,02/01/2022
42,73015.0,Active,85,02/01/2022
43,73015.0,Deceased,33,02/01/2022
44,73015.0,Recovered*,743,02/01/2022
45,73016.0,Active,36,02/01/2022
46,73016.0,Deceased,1 to 4,02/01/2022
47,73016.0,Recovered*,453,02/01/2022
48,73017.0,Active,36,02/01/2022
49,73017.0,Deceased,1 to 4,02/01/2022
50,73017.0,Recovered*,397,02/01/2022
51,73018.0,Active,480,02/01/2022
52,73018.0,Deceased,113,02/01/2022
53,73018.0,Recovered*,4295,02/01/2022
54,73019.0,Active,7,02/01/2022
55,73019.0,Recovered*,58,02/01/2022
56,73020.0,Active,489,02/01/2022
57,73020.0,Deceased,64,02/01/2022
58,73020.0,Recovered*,4836,02/01/2022
59,73021.0,Active,9,02/01/2022
60,73021.0,Deceased,1 to 4,02/01/2022
61,73021.0,Recovered*,67,02/01/2022
62,73024.0,Active,13,02/01/2022
63,73024.0,Deceased,5,02/01/2022
64,73024.0,Recovered*,126,02/01/2022
65,73025.0,Active,331,02/01/2022
66,73025.0,Deceased,20,02/01/2022
67,73025.0,Recovered*,3173,02/01/2022
68,73026.0,Active,346,02/01/2022
69,73026.0,Deceased,20,02/01/2022
70,73026.0,Recovered*,2401,02/01/2022
71,73027.0,Active,26,02/01/2022
72,73027.0,Recovered*,188,02/01/2022
73,73028.0,Active,65,02/01/2022
74,73028.0,Deceased,10,02/01/2022
75,73028.0,Recovered*,566,02/01/2022
76,73029.0,Active,30,02/01/2022
77,73029.0,Deceased,5,02/01/2022
78,73029.0,Recovered*,360,02/01/2022
79,73030.0,Active,172,02/01/2022
80,73030.0,Deceased,21,02/01/2022
81,73030.0,Recovered*,1264,02/01/2022
82,73032.0,Active,7,02/01/2022
83,73032.0,Recovered*,49,02/01/2022
84,73033.0,Active,6,02/01/2022
85,73033.0,Deceased,1 to 4,02/01/2022
86,73033.0,Recovered*,84,02/01/2022
87,73034.0,Active,1132,02/01/2022
88,73034.0,Deceased,82,02/01/2022
89,73034.0,Recovered*,9305,02/01/2022
90,73036.0,Active,436,02/01/2022
91,73036.0,Deceased,67,02/01/2022
92,73036.0,Recovered*,4588,02/01/2022
93,73038.0,Active,63,02/01/2022
94,73038.0,Deceased,7,02/01/2022
95,73038.0,Recovered*,403,02/01/2022
96,73040.0,Active,46,02/01/2022
97,73040.0,Deceased,9,02/01/2022
98,73040.0,Recovered*,340,02/01/2022
99,73041.0,Active,8,02/01/2022
100,73041.0,Deceased,1 to 4,02/01/2022
101,73041.0,Recovered*,59,02/01/2022
