,Order Date,Clinic Name,Clinic Address,Clinic Suite,Clinic additional Address,Clinic City,Clinic State,Clinic Zip,County Name,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered,Total Covid Volume Ordered,Georeferenced Latitude & Longitude
0,6/23/2021,Derry Street Pharmacy,1304 Derry St,,,Harrisburg,Pennsylvania,17104,Dauphin,0,100,0,100,POINT (-76.868574 40.263018)
1,10/1/2021,Vybe Bensalem,3626 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,560,0,560,POINT (-74.963381 40.126209)
2,5/14/2021,Valley Pharmacy,647 state route 93 hwy,,,Sugarloaf,Pennsylvania,18249,Luzerne,0,100,0,100,
3,8/13/2021,Keystone Community Health Services,111 Chambers Hill Drive,Suite 102,,Chambersburg,Pennsylvania,17201,Franklin,0,280,0,280,
4,8/10/2021,Harrolds Pharmacy,250 Old River Road,,,Wilkes Barre,Pennsylvania,18702,Luzerne,0,140,0,140,POINT (-75.907849 41.241791)
5,8/12/2021,State College Family Medicine,2188 Sandy Dr,A,,State College,Pennsylvania,16803,Centre,0,140,0,140,POINT (-77.901296 40.782338)
6,8/11/2021,Centerville Clinics-Washington,37 HIGHLAND AVE,,,Washington,Pennsylvania,15301,Washington,0,140,0,140,POINT (-80.244837 40.174671)
7,8/13/2021,Holy Redeemer Hosp and Med Cntr,1648 Huntingdon Pike,,Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,0,420,0,420,POINT (-75.081101 40.108944)
8,8/12/2021,Martin Drugs Incorporated,627 S. Chester Road,,,Swarthmore,Pennsylvania,19081,Delaware,0,140,0,140,POINT (-75.353599 39.890698)
9,8/13/2021,Hamilton Health Center,110 South 17th Street,,,Harrisburg,Pennsylvania,17104,Dauphin,0,140,0,140,POINT (-76.863982 40.265624)
10,8/12/2021,Hyde Drug Store,2412 Wilmington Rd,,,New Castle,Pennsylvania,16105,Lawrence,0,140,0,140,POINT (-80.353731 41.026174)
11,8/11/2021,SCI-Coal Township,1 Kelley Dr,,,Coal Township,Pennsylvania,17866,Northumberland,0,560,0,560,POINT (-76.555486 40.805884)
12,8/9/2021,EMS Medical Management Inc,1000 N. Gravel Pike,Suite 100,,Schwenksville,Pennsylvania,19473,Montgomery,0,560,0,560,POINT (-75.467361 40.268)
13,8/10/2021,Adagio Health-Indiana,1097 Oak Street,,,Indiana,Pennsylvania,15701,Indiana,0,140,0,140,POINT (-79.159986 40.625771)
14,8/12/2021,PHN Tri Cty Com Hlth Ctr,1555 Shawna Road,,,Cherry Tree,Pennsylvania,15724,Cambria,0,140,0,140,POINT (-78.799345 40.716831)
15,8/12/2021,Delta Medix PC,300 Lackawanna Avenue,200,,Scranton,Pennsylvania,18503,Lackawanna,0,420,0,420,POINT (-75.667364 41.408249)
