,Clinic Name,Clinic Address,Clinic Suite,Clinic Address Additional,Clinic City,Clinic State,Clinic Zip Code,County Name,Number of Doses Allocated,Most Recent Order Date,Georeferenced Latitude & Longitude,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered
0,Allentown Health Bureau,Alliance Hall,,245 North 6th Street,Allentown,Pennsylvania,18102,Lehigh,1500,5/4/2021,,0,1500,0
1,GIANT PHARMACY-6079,"275 PAULINE DR, S YORK PLZ",,,YORK,PA,17402,York,,,,,,
2,Blakeslee Pharmacy,393 Rt 940,1,,Blakeslee,Pennsylvania,18610,Monroe,,,,,,
3,Weis Pharmacy-166,Route 611 Tannersville Plaza RR1 400,,,Tannersville,Pennsylvania,18372,Monroe,,,,,,
4,RITE AID STORE #02568,2810 MEMORIAL HIGHWAY,,,SHAVERTOWN,Pennsylvania,18708,Luzerne,,,,,,
5,Walmart Store #4276,1325 MAIN,,,TAYLOR,Pennsylvania,18517,Lackawanna,,,,,,
6,Giant Eagle Pharmacy-37,5 Quaker Village S.c.,,,Leetsdale,Pennsylvania,15056,Allegheny,,,,,,
7,Vdi-nickmans Drug 109,3 Lemont Plaza,,,Lemont Furnace,Pennsylvania,15456,Fayette,,,,,,
8,CVS/pharmacy01917,"6007 Allentown Blvd, Paxton Square",,,Harrisburg,Pennsylvania,17112,Dauphin,,,,,,
9,SLUHHN-Sacred Heart Campus,421 Chew St,,,Allentown,Pennsylvania,18102,Lehigh,2000,4/13/2021,POINT (-75.468045 40.607987),,,
10,CVS/pharmacy02495,751 West Lancaster Avenue,,,Downingtown,Pennsylvania,19335,Chester,,,POINT (-75.723402 39.999199),,,
11,RITE AID STORE #11029,3205 CAPE HORN ROAD,,,RED LION,Pennsylvania,17356,York,,,POINT (-76.628849 39.915473),,,
12,Conemaugh Miners Medical Center,290 Haida Ave,,,Hastings,Pennsylvania,16646,Cambria,100,4/13/2021,POINT (-78.705799 40.658913),,,
13,SLUHHN-Miners,360 W. Ruddle St,,,Coaldale,Pennsylvania,18218,Schuylkill,900,4/13/2021,POINT (-75.914152 40.821619),,,
14,RITE AID STORE #01830,77 REUTERS BOULEVARD,,,TOWANDA,Pennsylvania,18848,Bradford,,,POINT (-76.450216 41.783144),,,
15,CVS/pharmacy02951,104 N Pottstown Pike,,,Chester Springs,Pennsylvania,19425,Chester,,,POINT (-75.687778 40.077651),,,
16,PHS-UPMC Pinnacle Carlisle Employee Hlth,361 Alexander Spring Rd,,,Carlisle,Pennsylvania,17015,Cumberland,500,4/13/2021,POINT (-77.223007 40.184767),,,
17,Giant Eagle Pharmacy-82,1050 Mt Laurel Plaza,,,Latrobe,Pennsylvania,15650,Westmoreland,,,POINT (-79.38887 40.283684),,,
18,PHN-Sharon Medical Group Pediatrics,63 Pitt Street,202,,Sharon,Pennsylvania,16146,Mercer,200,4/13/2021,POINT (-80.507917 41.23373),,,
19,RITE AID STORE #02017,762 EAST JOHNSON HIGHWAY,,,NORRISTOWN,Pennsylvania,19401,Montgomery,,,POINT (-75.317783 40.125455),,,
20,Centerville Clinics-Uniontown,86 McClellandtown Rd,,,Uniontown,Pennsylvania,15401,Fayette,300,4/13/2021,POINT (-79.735949 39.902346),,,
21,CVS/pharmacy04058,734 East Washington St,,,New Castle,Pennsylvania,16101,Lawrence,,,POINT (-80.334015 40.994047),,,
22,AHOLD USA-GIANT PHARMACY-6277,7673 LAKE RAYSTOWN SHOPPING CENTER,,,HUNTINGDON,PA,16652,Huntingdon,,,POINT (-78.013383 40.479429),,,
23,Walmart Store #4612,1800 TILDEN RIDGE,,,HAMBURG,Pennsylvania,19526,Berks,,,POINT (-76.009659 40.563441),,,
24,Giant Eagle Pharmacy-35,1717 COCHRAN RD,,,Pittsburgh,Pennsylvania,15220,Allegheny,,,POINT (-80.064409 40.393256),,,
25,Guthrie Clinic Athens,412 South Main Street,,,Athens,Pennsylvania,18810,Bradford,100,4/13/2021,POINT (-76.518271 41.956883),,,
26,RITE AID STORE #03620,1550 COLUMBIA AVENUE,,,LANCASTER,Pennsylvania,17603,Lancaster,,,POINT (-76.344405 40.038007),,,
27,Shop n Save RX- Pittsburgh,450 56th St,,,Pittsburgh,Pennsylvania,15201,Allegheny,,,POINT (-79.947467 40.483811),,,
