,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
0,GIANT PHARMACY-6518,2350 SUSQUEHANNA ROAD,ROSLYN,PA,19001,Montgomery,0,0,0,210,765,822,POINT (-75.134817 40.121946)
1,,,,,,,0,0,0,0,0,0,
2,WellSpan OB/GYN-Stony Brook,"4222 E Market St, Lincoln Hwy",York,Pennsylvania,17406,York,0,0,0,18,36,0,
3,CHOP Care Network-High Point,100 Manor Dr,Chalfont,Pennsylvania,18914,Bucks,0,0,0,0,924,0,
4,SCI-Waymart,PO Box 256,Waymart,Pennsylvania,18472,Wayne,0,0,0,0,352,0,
5,My Health Center at Lowes Pottsville,1201 Keystone Blvd. My Health Center,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,0,6,0,
6,Indiana University of PA Health Service,901 Maple Street,Indiana,Pennsylvania,15705,Indiana,0,0,0,64,0,0,POINT (-79.157875 40.614684)
7,Reading Opportunity Center for Children,Reading HS 801 N 13th Street,Reading,Pennsylvania,19604,Berks,0,0,0,0,16,0,
8,Pharmerica-KOP,489 Shoemaker Rd,King of Prussia,Pennsylvania,19406,Montgomery,0,0,0,0,8,0,POINT (-75.353077 40.082452)
9,Clarion Pharmacy,30 Pinnacle Drive,Clarion,Pennsylvania,16214,Clarion,0,0,0,0,4,0,
10,Warren State Hospital-Employee Health,33 Main Dr.,Warren,Pennsylvania,16365,Warren,0,1,0,0,0,0,POINT (-79.141997 41.879427)
11,Susq Community Health and Dental Cente,471 Hepburn Street,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,40,0,0,POINT (-77.006961 41.241842)
12,Penn State Health St Joseph Med Center,2500 BERNVILLE RD PHARMACY,Reading,Pennsylvania,19605,Berks,11,0,0,20,0,0,POINT (-75.977661 40.376717)
13,Fresenius Kidney Care South Allentown,2820 Mitchell Ave.,Allentown,Pennsylvania,18103,Lehigh,0,0,0,5,0,0,POINT (-75.481033 40.560689)
14,Fresenius Kidney Care (FKC) Chadds Ford,291 Wilmington West Chester Pike,Chadds Ford,Pennsylvania,19317,Delaware,0,0,0,2,0,0,POINT (-75.540653 39.853872)
15,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,Pottstown,Pennsylvania,19465,Chester,0,0,0,29,7,10,POINT (-75.662171 40.233362)
16,Broad Top Area Med Center-Mount Union,95 South Park Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,21,45,0,POINT (-77.880361 40.381921)
17,Family First Health-Hannah Penn Center,415 East Boundary Avenue,York,Pennsylvania,17403,York,0,6,0,0,0,0,POINT (-76.715296 39.957204)
18,North Penn Comprehensive Health Services,7 Water St,Wellsboro,Pennsylvania,16901,Tioga,0,0,0,0,50,0,POINT (-77.301143 41.749471)
19,PHN-Shamokin Community Health Center,531 North Franklin Street,Shamokin,Pennsylvania,17872,Northumberland,0,0,0,0,79,0,POINT (-76.550305 40.791462)
20,Medi-Rx Pharmacy Inc,6401 Olde Stone Crossing,Poland,Ohio,44514,Mahoning,0,0,0,0,2,0,POINT (-80.588191 41.024818)
21,LVPG Family Medicine-Schuylkill Med Plz,200 Schuylkill Medical Plaza,Pottsville,Pennsylvania,17901,Schuylkill,0,0,0,1,2,0,POINT (-76.188817 40.68179)
22,Tri-State Community Health Center,525 Fulton Drive,Mc Connellsburg,Pennsylvania,17233,Fulton,0,0,0,1,2,0,POINT (-77.99936 39.924409)
23,FPC-Lewisburg Family Practice Center,131 JPM Road Suite A,Lewisburg,Pennsylvania,17837,Union,0,0,0,0,15,0,POINT (-76.891814 40.976035)
24,Primemed-Dr. Patrick Connors,2232 Pittston Ave,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,46,33,0,POINT (-75.681141 41.384922)
25,PHN-Tri-County Community Health Center,1555 Shawna Road,Cherry Tree,Pennsylvania,15724,Cambria,0,0,0,12,3,0,POINT (-78.799345 40.716831)
26,Wright Ctr for Com Hlth Scranton Prac,501 S Washington Avenue,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,9,0,POINT (-75.67015 41.402072)
27,Family Practice Center Williamsport,1205 River Avenue 1st Floor,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,0,42,0,POINT (-76.981391 41.252539)
28,FCCC-East Norriton,2701 Dekalb Pike Fox Chase Cancer Center,Norristown,Pennsylvania,19401,Montgomery,0,0,0,6,2,140,
