,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
0,Luna Medical Clinic,Community Clinic,,,PORT ISABEL,,112 W QUEEN ISABELLA STE CC ,78578,7/27/2021,10:59:28,0,28,0,52,0,28,52,,
1,BAPTIST HOSPITAL OF SE TEXAS - BEAUMONT,Hospital,R,3080 College St, Beaumont,Jefferson,"3080 College St, Beaumont, TX, 77701",77701,5/31/2021,10:33:34,10,50,0,50,100,160,50,(409) 212-5000,
2,Lamar University Student Health Center,Other,,,Beaumont,Jefferson,857 E Virginia St,77705,7/23/2021,8:31:17,0,50,0,0,0,50,0,,
3,EHE International,Other,,5555 San Felipe St,Houston,Harris,"5555 San Felipe Street, Ste 800",77056,7/22/2021,11:51:10,0,10,0,0,0,10,0,(713) 622-9900,
4,Vickery Health Center,Community Clinic,,8224 PARK LN,DALLAS,,8224 PARK LN STE 130,75231,7/22/2021,9:52:12,54,0,0,0,0,54,0,,
5,Walgreens Pharmacy 04424,Pharmacy,,,Corpus Christi ,,4501 Ayers St ,78415,7/26/2021,21:13:40,78,0,0,0,0,78,0,,
6,Live Oak County Health Department,Other,,Houston St,George West,Live Oak,301 Houston St Annex Bldg Rm 10,78022,5/28/2021,6:44:01,0,600,0,360,0,600,360,,
7,Walgreens Pharmacy 06715,Pharmacy,,W UNIVERSITY BLVD, Odessa,odessa,"1305 W UNIVERSITY BLVD Odessa, TX 79764",79764,7/27/2021,7:16:34,57,0,57,0,0,57,57,(432) 580-0166,https://www.walgreens.com/locator/walgreens-1305+w+university+blvd-odessa-tx-79764/id=6715
8,COSTCO PHARMACY 669,Federal Allocation,,2601 E. State Hwy 114,Southlake,Tarrant,2601 E STATE HIGHWAY 114 SOUTHLAKE 76092,76092,7/20/2021,18:03:41,0,70,0,70,0,70,70,,
9,Neurosurgical Associates,Other,,,Lubbock,Lubbock,3419 22nd Street,79410,7/20/2021,17:18:57,283,68,280,43,0,351,323,,
10,Frontera Healthcare-Brady,Other,,,Brady,Mcculloch,2205 S Bridge St Ste 300,76825,7/23/2021,15:54:37,12,0,0,350,180,192,350,,
11,Modern Health & Wellness,Other,,Republic Dr,Plano,Collin,555 Republic Dr,75074,7/14/2021,12:08:37,102,0,0,0,0,102,0,,
12,"Osama B. Nahas, M.D. Pa",Other,,,Edinburg,,2505 W Trenton Rd,78539,7/22/2021,15:45:04,0,20,0,0,0,20,0,,
13,rosa perez family practice,Community Clinic,,2557 North Veterans Boulevard suite A,Eagle Pass,Maverick,"2557 North Veterans Boulevard, Eagle Pass, TX, USA",3356,7/8/2021,8:19:23,0,0,5,0,0,0,5,,
14,Questcare Medical Clinic At Arlington,Other,,3051 S Center St,Arlington,,3051 S CENTER ST Arlington 76014,76014,7/16/2021,16:08:04,0,40,0,0,0,40,0,(469) 518-4803,Healthcaremedicalclinic.com
15,HAMILTON GENERAL HOSPITAL,Hospital,L,400 N Brown St,Hamilton,Hamilton,400 N Brown St,76531,7/22/2021,7:20:52,0,140,0,140,0,140,140,(254) 386-1700,http://hamiltonhospital.org/
16,Walgreens Pharmacy 07725,Pharmacy,,,,,"14625 FM 529 RD Houston, TX 77095",,7/26/2021,21:03:30,72,0,0,0,0,72,0,(281) 463-9088,https://www.walgreens.com/locator/walgreens-14625+fm+529+rd-houston-tx-77095/id=7725
17,Centro De Salud Familiar La Fe Westway,Other,,1713 Banker Rd,Canutillo,El Paso,"1713 Banker Rd, Canutillo, TX, USA",79835,7/22/2021,10:58:07,36,90,0,0,0,126,0,,
18,Jacinto Medical Group-Baytown ,Medical Practice,,2800 Garth Road,Baytown,Harris,2800 Garth Road,77521,7/23/2021,17:27:56,0,80,0,100,0,80,100,,
