,Reporting period end date,Weekly total
0,12/19/2020,8361
1,12/26/2020,28307
2,1/2/2021,42616
3,1/9/2021,62549
4,1/16/2021,68976
5,1/23/2021,103656
6,1/30/2021,121669
7,2/6/2021,94681
8,2/13/2021,146386
9,2/20/2021,156702
10,2/27/2021,143876
11,3/6/2021,195960
12,3/13/2021,218200
13,3/20/2021,213146
14,3/27/2021,232719
15,4/3/2021,280202
16,4/10/2021,316069
17,4/17/2021,300523
18,4/24/2021,280514
19,5/1/2021,234409
20,5/8/2021,208357
21,5/15/2021,194558
22,5/22/2021,182588
23,5/29/2021,100323
24,6/5/2021,79755
25,6/12/2021,89546
26,6/19/2021,62483
27,6/26/2021,44157
28,7/3/2021,36805
29,7/10/2021,31460
30,7/17/2021,33721
31,7/24/2021,36834
32,7/31/2021,39016
33,8/7/2021,42811
34,8/14/2021,42775
35,8/21/2021,50448
36,8/28/2021,51677
37,9/4/2021,47268
38,9/11/2021,37717
39,9/18/2021,39891
40,9/25/2021,43672
41,10/2/2021,71004
42,10/9/2021,63930
43,10/16/2021,58765
44,10/23/2021,66118
45,10/30/2021,117052
46,11/6/2021,120626
47,11/13/2021,128258
48,11/20/2021,140161
49,11/27/2021,108602
50,12/4/2021,143665
